Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	3.19E+00	4.00E+00	3.72E+00	1.86E+00	2.29E+00	1.19E+00
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	6.37E+00	6.93E+00	5.72E+00	2.02E+00	2.58E+00	3.37E+00
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	4.65E+00	5.33E+00	5.23E+00	2.00E+00	4.67E+00	2.89E+00
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	1.64E+00	4.01E+00	3.70E+00	2.27E+00	1.93E+00	0.00E+00
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	3.73E+00	5.25E+00	4.32E+00	2.16E+00	2.28E+00	0.00E+00
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	6.58E+00	1.00E+01	1.32E+01	1.21E+01	6.46E+00	0.00E+00
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	3.90E+00	7.33E+00	5.25E+00	3.45E+00	1.44E+00	2.48E+00
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	3.70E+00	4.94E+00	3.14E+00	2.05E+00	7.95E-01	1.78E+00
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	9.29E+00	1.30E+01	1.43E+01	1.27E+01	8.96E+00	9.83E-01
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	4.51E+01	0.00E+00	8.28E+00	1.98E+00	4.31E+01	7.90E-01
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	3.40E+00	6.18E+00	8.73E+00	5.51E+00	3.15E+00	4.80E+00
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	4.53E+00	9.93E+00	1.29E+01	1.42E+01	7.39E+00	8.79E+00
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	2.88E+00	6.19E+00	5.41E+00	3.83E+00	2.54E+00	1.23E+00
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	2.62E+00	5.50E+00	5.76E+00	1.92E+00	2.75E+00	2.96E+00
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	1.35E+00	1.86E+00	2.40E+00	1.02E+00	3.35E-01	1.54E+00
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	4.01E+00	7.00E+00	9.76E+00	4.56E+00	6.57E-01	1.68E+00
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	3.57E+00	1.45E+01	1.27E+01	3.72E+00	5.23E+00	3.38E+00
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	3.35E+00	7.75E+00	6.16E+00	2.39E+00	4.59E+00	0.00E+00
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	3.18E+00	7.01E+00	6.92E+00	1.47E+00	2.89E+00	0.00E+00
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	3.52E+00	5.45E+00	7.75E+00	2.52E+00	3.18E+00	2.31E+00
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	3.32E+00	9.93E+00	1.07E+01	3.95E+00	3.41E+00	6.05E-01
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	2.00E+00	6.06E+00	4.63E+00	1.59E+00	2.99E+00	3.49E+00
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	3.03E+00	8.01E+00	4.58E+00	1.63E+00	1.73E+00	1.18E+00
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	3.03E+00	5.55E+00	5.35E+00	1.83E+00	3.06E+00	2.09E+00
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	3.51E+00	5.49E+00	5.29E+00	1.27E+00	8.92E-01	1.73E+00
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	3.04E+00	5.16E+00	8.54E+00	2.30E+00	3.31E+00	7.20E+00
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	3.71E+00	3.14E+00	5.56E+00	1.34E+00	1.73E+00	0.00E+00
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	2.21E+00	5.29E+00	4.55E+00	2.69E+00	3.76E+00	1.19E+00
