Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	54	92	65	10	21	13
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	45	283	127	26	34	53
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	90	122	114	23	28	42
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	28	27	48	0	10	8
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	148	335	138	18	42	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	177	275	137	9	19	6
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	88	95	222	38	26	11
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	100	316	210	435	16	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	406	598	238	20	39	19
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	18	4	182	45	20	0
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	9	122	79	31	15	42
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	86	187	126	29	15	74
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	56	110	167	8	14	0
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	54	136	139	6	35	36
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	69	148	142	8	16	180
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	59	96	128	25	17	47
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	66	121	176	32	36	53
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	119	155	187	36	42	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	107	473	127	23	62	15
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	50	80	79	17	11	30
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	122	881	209	28	58	34
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	77	198	148	26	18	28
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	96	467	114	23	94	22
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	45	177	131	5	24	0
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	163	226	159	1	23	0
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	204	83	210	13	18	84
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	176	436	160	16	44	23
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	52	148	109	14	20	60
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	30	193	148	1007	9	47
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	131	309	190	27	33	20
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	139	212	256	62	35	2
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	48	59	54	90	8	52
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	168	144	83	15	33	43
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	61	180	112	17	41	25
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	173	117	150	4	49	0
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	248	183	175	35	15	13
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	302	211	125	9	22	77
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	97	177	130	6	23	69
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	95	195	151	8	18	0
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	39	144	133	45	2	12
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	166	104	148	30	51	3
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	47	79	141	27	19	52
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	184	364	272	141	78	0
efacd7d6.56cf.4f6a.87f0.1a7ab6b1a643..Panc.AdenoCA..DO51483	244	225	160	30	39	5
efc39172.083c.4297.b922.3f58df781332..Panc.AdenoCA..DO35198	147	154	182	40	28	26
f1d9124e.dfa2.415e.b8b8.dd872fd3e2cb..Panc.AdenoCA..DO33408	56	100	143	5	25	0
f283ed80.8302.4f26.99ed.ea20d101289d..Panc.AdenoCA..DO49420	40	80	127	5	15	3
f4ada7a2.c4ac.4f89.ada7.4645861002cb..Panc.AdenoCA..DO51530	175	132	146	757	5	40
f4e673a9.5b85.46e7.bcac.2ce6e1026896..Panc.AdenoCA..DO51502	118	235	123	16	70	37
f4e926fd.006e.4c85.b71c.1433c325acb0..Panc.AdenoCA..DO49204	60	146	103	23	15	7
f5bb7ae4.4bb4.4e87.b83c.bc8620584989..Panc.AdenoCA..DO34312	64	174	170	10	23	12
f7702c0c.9636.4700.a8ae.7a58afd9fa71..Panc.AdenoCA..DO33544	76	284	183	15	30	4
f94c4f69.8119.4eaf.97c1.5106890c14d4..Panc.AdenoCA..DO35186	182	131	107	14	32	0
fa54205f.7e51.4e5a.9f0a.5e8a2e40235f..Panc.AdenoCA..DO49178	24	97	87	34	14	4
fa9a3247.a465.4fdf.bb64.5afaa83a5d76..Panc.AdenoCA..DO35132	0	27	38	0	6	1
fdbd0277.ddbf.4cc5.8ec3.3644b9553627..Panc.AdenoCA..DO35406	94	126	136	17	18	6
fe96d91c.3686.4125.af71.b8703a011ad4..Panc.AdenoCA..DO49463	98	885	152	27	92	0
ffe4bb51.e98a.41a7.a4e1.c3970386889c..Panc.AdenoCA..DO51503	53	54	102	14	8	52
