MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
2:Del:R:1	9.27E-04	0.00E+00	2.85E-03	2.77E-08	2.97E-04	2.62E-03	1.65E-03	7.55E-04	1.96E-03	3.59E-03	1.17E-02	6.36E-03	2.03E-03	2.93E-03	7.77E-03	4.90E-03	8.00E-03	2.34E-07
2:Del:R:2	3.32E-08	2.71E-04	3.30E-04	3.29E-08	1.59E-04	1.37E-03	1.53E-04	5.88E-04	9.53E-07	1.81E-03	7.12E-04	1.67E-03	4.73E-03	3.36E-03	6.33E-07	3.84E-03	2.75E-03	7.74E-03
2:Del:R:3	4.40E-05	1.45E-04	6.36E-08	1.73E-05	3.40E-04	5.08E-08	5.98E-05	1.53E-07	4.80E-04	1.73E-04	1.82E-04	1.25E-03	1.37E-06	9.54E-04	1.71E-07	1.70E-03	7.08E-04	2.20E-03
2:Del:R:4	1.13E-04	6.01E-08	3.71E-08	1.08E-08	2.12E-04	1.74E-07	2.98E-04	1.91E-07	0.00E+00	4.27E-08	4.70E-07	3.62E-07	1.40E-05	2.08E-07	1.75E-04	1.45E-03	5.47E-04	2.21E-08
2:Del:R:5	0.00E+00	3.67E-07	5.43E-03	1.66E-07	6.91E-08	7.55E-08	2.09E-02	1.89E-07	1.40E-46	4.71E-04	3.33E-02	8.73E-09	2.31E-06	1.58E-03	1.40E-46	0.00E+00	3.12E-07	5.80E-02
3:Del:R:0	0.00E+00	2.59E-08	2.64E-07	1.66E-04	2.71E-03	6.47E-04	3.51E-04	2.20E-03	2.63E-03	3.79E-03	0.00E+00	7.14E-03	5.00E-03	8.10E-04	1.40E-03	4.62E-04	1.17E-03	5.31E-04
3:Del:R:1	1.32E-04	7.68E-04	0.00E+00	0.00E+00	3.94E-03	1.31E-03	8.73E-04	2.87E-03	1.13E-03	1.91E-03	3.06E-03	3.06E-03	1.06E-03	1.16E-03	1.10E-03	2.11E-02	7.21E-03	2.45E-03
3:Del:R:2	2.42E-04	3.00E-04	9.36E-09	6.95E-05	2.42E-03	4.95E-04	4.03E-04	1.16E-03	1.61E-03	3.40E-07	1.83E-03	7.06E-07	5.21E-04	4.61E-03	8.58E-04	6.49E-03	1.56E-04	5.12E-03
3:Del:R:3	6.01E-05	5.86E-05	1.53E-08	3.37E-05	3.64E-04	7.13E-08	4.12E-08	4.48E-08	3.55E-08	9.30E-10	9.35E-08	2.55E-04	1.01E-04	2.17E-04	1.85E-04	4.93E-04	1.03E-07	9.17E-04
3:Del:R:4	3.25E-08	5.17E-08	6.57E-05	9.97E-05	1.04E-04	6.64E-08	1.90E-04	1.74E-07	5.67E-08	1.44E-07	4.44E-04	1.70E-07	6.81E-08	7.84E-08	1.13E-07	9.48E-08	1.26E-07	2.88E-04
3:Del:R:5	1.55E-08	2.73E-08	3.98E-08	4.16E-08	4.24E-08	5.25E-08	9.56E-08	4.81E-08	6.20E-08	9.67E-08	1.15E-07	2.08E-07	8.31E-08	8.90E-08	1.74E-07	7.97E-08	1.58E-07	1.53E-07
4:Del:R:0	0.00E+00	4.43E-05	6.36E-08	5.06E-05	0.00E+00	1.82E-04	3.35E-04	1.46E-04	2.18E-03	2.79E-03	0.00E+00	0.00E+00	1.86E-03	2.78E-03	2.50E-06	7.68E-07	1.86E-07	3.24E-03
4:Del:R:1	4.10E-04	1.26E-03	0.00E+00	0.00E+00	9.23E-04	7.24E-04	8.62E-04	3.79E-03	9.16E-04	2.28E-05	2.46E-03	2.15E-03	9.96E-03	2.61E-03	5.03E-04	4.98E-04	5.36E-03	7.49E-03
4:Del:R:2	4.54E-05	2.47E-08	7.23E-07	0.00E+00	1.04E-08	1.92E-04	6.10E-04	4.33E-04	4.17E-04	4.78E-04	0.00E+00	8.59E-04	1.25E-04	3.55E-04	4.97E-04	9.03E-05	1.40E-46	7.62E-05
4:Del:R:3	7.21E-04	2.46E-07	2.48E-07	3.83E-02	1.50E-02	2.42E-07	5.43E-08	1.26E-07	1.08E-06	7.01E-46	3.86E-02	3.07E-07	2.14E-46	6.81E-07	1.65E-45	8.87E-03	1.45E-06	1.88E-04
4:Del:R:4	4.03E-08	4.20E-08	5.77E-08	4.26E-08	3.66E-08	6.73E-08	2.09E-07	5.30E-08	3.31E-04	2.03E-04	1.39E-07	6.04E-07	1.15E-07	2.70E-04	1.25E-07	8.40E-08	4.86E-07	4.36E-07
4:Del:R:5	8.37E-05	4.39E-08	4.47E-08	2.94E-08	1.18E-06	3.81E-08	9.95E-05	2.05E-07	1.27E-07	6.38E-08	1.94E-04	3.40E-04	9.28E-08	8.11E-07	7.05E-08	5.11E-04	7.96E-04	5.20E-07
5:Del:R:0	4.98E-08	1.70E-07	3.65E-08	0.00E+00	6.67E-06	3.11E-03	6.56E-07	1.74E-02	3.92E-02	6.63E-02	2.02E-03	5.63E-02	6.94E-03	4.95E-03	2.28E-03	6.11E-03	1.52E-06	1.51E-02
5:Del:R:1	9.64E-04	2.10E-07	4.25E-08	1.15E-08	5.23E-04	2.01E-07	2.66E-07	2.42E-03	8.76E-08	3.86E-03	1.62E-03	3.21E-03	6.89E-03	7.33E-03	7.11E-07	4.51E-03	1.44E-02	1.49E-02
5:Del:R:2	7.97E-05	1.56E-04	0.00E+00	0.00E+00	7.86E-05	7.54E-08	2.09E-04	1.48E-04	9.58E-08	3.31E-07	1.09E-03	2.44E-04	4.12E-08	6.28E-04	2.26E-07	1.90E-03	7.65E-04	3.12E-04
5:Del:R:3	0.00E+00	9.80E-08	1.32E-02	1.26E-08	6.07E-08	5.25E-08	2.31E-02	5.58E-08	1.94E-06	5.07E-08	6.40E-03	6.13E-08	4.21E-07	1.10E-07	1.25E-07	1.32E-06	6.03E-07	5.02E-03
5:Del:R:4	3.55E-08	5.31E-08	6.44E-08	3.70E-08	4.10E-08	1.75E-07	9.68E-08	1.87E-07	2.05E-04	4.59E-07	1.85E-07	1.90E-04	1.87E-07	3.24E-07	1.54E-04	4.32E-08	1.71E-07	2.98E-04
5:Del:R:5	3.11E-08	5.40E-08	6.15E-05	3.24E-08	4.26E-08	3.85E-05	1.05E-04	3.35E-08	8.91E-08	1.17E-07	1.18E-07	3.11E-07	7.21E-08	1.07E-07	1.88E-07	8.51E-08	3.47E-07	1.05E-03
2:Ins:R:0	0.00E+00	4.88E-04	0.00E+00	2.14E-04	3.58E-03	1.62E-08	5.29E-08	0.00E+00	8.94E-04	3.04E-03	3.07E-03	6.71E-04	9.35E-04	4.89E-04	1.33E-03	8.73E-03	2.62E-04	4.45E-03
2:Ins:R:1	3.42E-04	0.00E+00	4.46E-08	9.15E-09	7.92E-08	6.18E-04	3.69E-04	1.58E-03	0.00E+00	1.51E-03	4.02E-04	2.06E-03	1.91E-03	2.37E-03	7.22E-05	1.99E-03	4.58E-03	1.35E-04
2:Ins:R:2	2.16E-04	1.18E-07	0.00E+00	9.05E-08	1.97E-04	8.32E-05	2.68E-04	2.53E-07	3.16E-08	0.00E+00	4.44E-04	2.73E-03	5.18E-04	1.36E-03	9.66E-04	6.38E-03	2.60E-03	1.50E-03
2:Ins:R:3	3.26E-08	2.04E-04	5.68E-08	4.66E-05	5.08E-09	7.54E-05	3.60E-04	9.97E-04	0.00E+00	7.76E-04	2.40E-04	8.75E-08	2.02E-03	5.59E-04	2.00E-07	5.79E-03	7.35E-05	5.45E-03
2:Ins:R:4	1.70E-04	8.88E-05	0.00E+00	1.13E-04	6.06E-05	0.00E+00	7.98E-04	2.28E-04	2.55E-07	1.50E-07	1.23E-03	0.00E+00	3.84E-07	2.15E-03	9.01E-04	1.57E-03	6.78E-03	4.76E-03
2:Ins:R:5	1.41E-03	1.65E-03	1.87E-07	2.13E-02	5.29E-02	1.40E-46	1.51E-07	6.12E-03	1.40E-46	4.26E-03	1.83E-02	1.30E-01	4.95E-03	2.61E-03	1.04E-02	1.18E-02	4.33E-05	7.41E-03
3:Ins:R:0	1.82E-08	8.35E-06	1.03E-07	1.31E-08	3.97E-08	7.65E-07	1.84E-07	1.03E-04	4.12E-04	8.90E-08	4.30E-07	2.63E-07	9.65E-05	3.94E-04	3.22E-07	4.22E-04	1.01E-07	2.09E-04
3:Ins:R:1	2.56E-05	6.03E-08	3.08E-08	0.00E+00	4.60E-05	9.42E-04	6.24E-04	3.34E-04	1.00E-04	1.30E-07	2.34E-03	2.31E-04	1.22E-03	2.88E-06	6.75E-04	9.67E-05	1.11E-03	4.95E-04
3:Ins:R:2	6.14E-08	3.10E-07	4.13E-07	4.88E-08	4.13E-08	7.29E-08	8.68E-08	5.14E-08	2.06E-04	1.31E-07	1.10E-07	1.76E-07	2.57E-04	9.85E-05	2.18E-07	6.11E-05	1.93E-07	5.76E-04
3:Ins:R:3	2.80E-08	2.38E-04	3.91E-08	5.97E-08	4.45E-08	4.41E-08	5.91E-08	5.12E-08	5.38E-08	9.73E-08	9.00E-08	3.00E-08	3.40E-04	1.89E-04	1.42E-07	1.33E-07	1.55E-07	3.06E-04
3:Ins:R:4	2.99E-08	2.45E-04	3.04E-07	2.46E-07	4.24E-04	6.52E-08	1.98E-07	1.56E-04	6.56E-05	8.10E-08	2.18E-04	2.83E-04	6.05E-04	1.43E-03	1.14E-07	3.01E-07	5.08E-04	4.23E-07
3:Ins:R:5	3.01E-04	5.91E-05	6.06E-08	2.01E-07	9.66E-04	0.00E+00	5.80E-04	2.03E-07	1.47E-03	0.00E+00	3.21E-03	5.02E-03	1.58E-04	2.77E-03	8.62E-08	6.67E-03	2.33E-07	1.87E-04
