MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Ins:C:0	0.00E+00	2.67E-08	1.33E-02	7.08E-04	1.60E-07	6.89E-08	1.16E-06	1.05E-07	1.56E-07	2.54E-04	2.61E-03	1.40E-07	8.38E-03	3.37E-03	9.83E-03	1.79E-08	1.60E-02	4.82E-02	3.79E-03
1:Ins:C:1	1.07E-08	3.28E-07	1.46E-03	5.37E-07	3.10E-04	8.79E-04	2.50E-04	7.02E-04	8.32E-04	1.20E-03	8.75E-08	6.23E-04	3.48E-05	1.33E-04	8.69E-07	2.29E-04	1.41E-07	2.88E-03	1.59E-03
1:Ins:C:2	2.73E-08	3.52E-07	4.66E-08	5.47E-08	8.11E-05	3.77E-05	1.57E-03	6.61E-08	6.88E-04	7.87E-05	2.45E-04	4.97E-04	3.74E-04	3.26E-04	9.90E-08	3.32E-04	6.33E-04	2.83E-03	4.56E-07
1:Ins:C:3	4.60E-04	7.20E-04	6.10E-04	9.80E-08	5.52E-08	2.06E-04	8.31E-04	1.05E-07	2.28E-08	1.03E-04	6.69E-05	1.01E-07	9.11E-07	1.13E-03	3.14E-07	3.98E-07	2.18E-07	3.06E-04	3.93E-03
1:Ins:C:4	4.52E-04	1.05E-03	1.41E-03	7.70E-04	2.61E-08	6.25E-04	2.95E-03	3.70E-04	3.53E-04	6.36E-04	1.13E-07	0.00E+00	3.06E-03	2.05E-03	5.47E-03	1.61E-04	7.15E-03	2.02E-07	9.79E-03
1:Ins:C:5	3.82E-03	2.26E-03	1.85E-02	2.22E-03	1.48E-30	5.98E-04	2.54E-07	1.67E-03	2.61E-08	3.30E-02	4.20E-46	5.56E-07	5.89E-03	1.30E-02	0.00E+00	2.87E-03	8.90E-08	3.58E-03	9.21E-02
1:Ins:T:0	6.45E-04	3.02E-03	4.38E-05	9.00E-08	2.06E-03	1.43E-03	1.78E-02	4.16E-03	3.57E-03	2.15E-03	5.60E-03	1.01E-02	1.13E-02	9.27E-05	3.78E-04	1.47E-02	5.58E-03	1.58E-02	1.91E-02
1:Ins:T:1	3.15E-09	5.51E-05	6.26E-04	1.05E-04	1.84E-03	1.16E-03	3.54E-03	5.23E-03	5.32E-03	7.32E-04	3.39E-03	4.22E-03	8.79E-03	1.16E-07	1.36E-03	1.57E-02	1.77E-03	5.78E-03	0.00E+00
1:Ins:T:2	1.29E-07	0.00E+00	1.18E-07	3.79E-04	3.30E-04	8.32E-04	3.26E-03	1.54E-04	9.48E-04	5.03E-08	1.73E-03	1.54E-07	7.41E-03	1.71E-07	2.19E-06	5.11E-04	3.61E-07	1.61E-03	3.94E-09
1:Ins:T:3	0.00E+00	1.64E-03	1.71E-04	3.28E-04	7.88E-08	4.51E-04	1.98E-03	8.74E-03	1.45E-03	1.46E-03	2.62E-04	3.01E-04	3.52E-03	3.87E-03	2.20E-03	3.66E-03	5.95E-04	1.20E-03	8.24E-03
1:Ins:T:4	1.12E-03	1.44E-07	1.01E-07	1.31E-03	8.17E-08	0.00E+00	1.11E-07	1.79E-03	1.14E-06	3.42E-03	4.65E-03	0.00E+00	1.60E-07	5.63E-02	1.82E-02	1.74E-03	9.80E-04	6.79E-08	6.20E-03
1:Ins:T:5	2.18E-03	3.36E-02	1.53E-06	1.40E-46	1.13E-03	1.10E-02	4.05E-03	2.32E-07	3.88E-03	9.57E-02	1.72E-07	2.53E-03	1.07E-06	1.03E-01	1.66E-02	6.16E-02	3.78E-02	1.19E-04	3.11E-02
2:Del:R:0	3.38E-03	8.78E-04	1.50E-08	1.24E-08	1.99E-03	2.83E-03	2.78E-03	6.62E-05	9.40E-04	9.29E-04	5.51E-03	2.12E-03	1.13E-02	3.52E-02	4.11E-03	8.45E-02	6.90E-02	6.05E-03	0.00E+00
2:Del:R:1	0.00E+00	4.79E-07	0.00E+00	4.72E-04	3.84E-03	5.15E-03	1.25E-03	4.81E-03	5.61E-03	2.32E-03	6.50E-03	0.00E+00	1.30E-02	1.14E-03	1.04E-02	7.32E-03	8.75E-03	4.86E-03	4.06E-03
2:Del:R:2	2.10E-03	4.81E-07	4.20E-08	5.02E-04	1.46E-04	2.17E-04	1.77E-04	1.46E-03	6.36E-06	2.20E-04	1.08E-03	2.80E-46	1.78E-07	7.47E-03	8.02E-03	0.00E+00	1.20E-03	7.78E-04	0.00E+00
2:Del:R:3	4.39E-08	4.22E-05	9.49E-09	5.72E-05	2.43E-04	1.12E-04	7.85E-05	5.12E-04	6.59E-05	3.02E-04	1.52E-04	3.03E-04	0.00E+00	1.09E-03	1.19E-03	1.91E-04	9.14E-08	2.57E-09	2.22E-03
2:Del:R:4	2.85E-08	1.58E-04	1.75E-07	6.62E-04	3.24E-08	3.98E-04	4.51E-04	1.72E-04	1.13E-04	2.89E-08	3.24E-08	1.55E-07	4.55E-07	2.12E-07	4.14E-07	2.70E-07	9.90E-07	8.86E-04	2.21E-03
2:Del:R:5	1.90E-03	2.90E-04	1.02E-03	0.00E+00	6.20E-05	1.09E-03	3.62E-04	0.00E+00	3.93E-05	0.00E+00	2.46E-04	3.44E-03	3.34E-06	0.00E+00	2.27E-02	1.07E-02	5.66E-03	5.38E-03	8.31E-04
3:Del:R:0	4.90E-08	5.89E-04	4.79E-04	3.01E-04	2.81E-04	4.06E-03	1.13E-02	5.27E-08	3.56E-03	3.09E-04	1.37E-03	9.35E-04	3.89E-05	2.25E-07	2.15E-02	1.71E-07	3.83E-03	1.39E-02	2.28E-03
3:Del:R:1	3.08E-04	1.79E-03	5.35E-08	2.01E-03	3.97E-04	1.65E-03	3.37E-08	1.41E-03	1.69E-04	1.00E-03	2.98E-03	2.32E-06	3.10E-02	2.33E-03	1.45E-02	4.01E-03	2.45E-02	6.13E-03	7.44E-03
3:Del:R:2	9.83E-05	2.16E-07	1.79E-04	2.45E-04	6.59E-04	5.13E-05	8.23E-04	8.67E-04	0.00E+00	1.89E-08	1.42E-03	1.19E-03	2.58E-03	3.30E-03	1.60E-03	4.90E-03	1.29E-03	0.00E+00	4.45E-03
3:Del:R:3	3.26E-08	6.12E-04	1.01E-04	1.48E-04	1.22E-07	7.23E-04	8.92E-04	1.55E-04	7.75E-04	2.52E-07	7.29E-08	4.09E-07	5.31E-08	2.06E-07	1.27E-07	7.66E-07	2.39E-07	2.72E-03	1.50E-03
3:Del:R:4	3.34E-08	4.25E-08	6.04E-08	3.37E-08	5.06E-08	3.92E-08	1.02E-07	6.73E-08	4.99E-08	4.71E-08	8.31E-08	2.01E-07	1.12E-07	1.62E-07	2.06E-07	3.57E-07	2.29E-07	2.13E-07	2.45E-07
3:Del:R:5	3.34E-08	4.25E-08	6.04E-08	3.37E-08	5.06E-08	3.92E-08	1.02E-07	6.73E-08	4.99E-08	4.71E-08	8.31E-08	2.01E-07	1.12E-07	1.62E-07	2.06E-07	3.57E-07	2.29E-07	2.13E-07	2.45E-07
4:Del:R:0	1.36E-04	1.84E-08	6.49E-08	8.22E-05	6.93E-04	3.82E-03	6.66E-03	9.26E-04	3.14E-03	1.10E-03	1.61E-03	3.12E-03	3.24E-03	5.59E-04	4.06E-07	1.39E-03	7.07E-04	3.32E-06	1.40E-46
