Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	49	129	91	20	19	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	26	53	144	32	32	11
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	62	149	107	21	20	53
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	28	220	153	9	57	13
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	158	389	189	25	55	6
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	8255	9358	0	1313	2823	285
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0	208	0	0	5261	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	42	124	92	18	32	3
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	145	86	154	34	13	43
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	947	262	0	1247	42	0
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	75	248	165	42	27	12
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	81	254	156	856	41	37
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	171	149	158	14	20	3
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	4	18	64	10	4	29
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	29	117	97	18	34	0
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	207	168	181	20	44	4
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	68	241	130	36	48	15
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	50	72	135	9	0	0
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	144	261	76	1232	50	5
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	173	73	334	1271	8	60
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	237	222	461	136	37	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	62	0	14	368	221	0
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	78	136	131	26	19	0
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	112	214	120	63	30	0
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	59	134	130	25	33	24
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	83	435	151	17	31	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	51	146	84	17	29	61
