Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V50	2.26E+00	1.09E+00	1.24E+00	5.54E-01	8.94E-01	1.08E+00	6.19E-01	2.87E+00	2.14E+00	6.80E-01	4.16E-01
V51	2.69E+01	7.79E+00	2.61E+00	2.70E+00	1.55E+00	1.48E+01	5.74E+00	3.06E+01	1.59E+01	1.59E+01	3.20E+00
V52	1.89E+01	6.01E-01	3.48E+00	3.58E+00	9.78E-01	4.53E+00	4.51E+00	1.77E+01	5.31E+00	5.43E+00	2.99E+00
V53	3.43E+01	1.16E+00	4.73E-01	1.06E+00	2.79E+00	6.09E+00	3.90E+00	3.83E+01	1.65E+00	1.65E+00	9.57E-01
V54	1.62E+01	3.65E-01	1.76E+00	3.76E+00	4.96E-01	4.23E+00	2.15E+00	1.66E+01	4.62E+00	3.09E+00	3.82E+00
V55	8.41E+00	9.71E-01	1.66E+00	4.56E+00	6.18E-01	2.18E+00	3.75E+00	9.83E+00	5.12E-01	5.83E+00	5.06E+00
V56	6.46E-01	2.75E+00	1.61E+00	7.95E-01	1.98E+00	1.34E+00	2.76E+00	1.54E+00	1.70E+00	2.69E+00	0.00E+00
V57	2.18E+01	4.26E+00	1.40E+01	3.46E+00	9.89E-01	3.47E+00	3.39E+00	2.33E+01	3.51E+00	2.47E+00	2.50E+00
V58	3.45E+01	0.00E+00	7.98E+00	1.85E+00	1.42E+00	3.68E+00	2.32E+00	3.59E+01	1.25E+00	1.27E+00	3.03E+00
V59	2.53E+00	1.43E+00	2.47E+00	8.31E+00	3.26E+00	2.12E+00	3.45E+00	1.91E+00	6.45E+00	3.42E+00	6.83E+00
V60	4.91E+00	3.38E+00	4.07E+00	9.71E-01	0.00E+00	3.00E-01	4.00E+00	6.25E+00	1.20E+00	1.96E+00	5.58E-01
