Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,a,alpha,overdispersion
18,NA,NA,NA,1,0.7222222222222222,0.021416609287968832,0.0063074723147786525,0.013862040801373742,28.702379104712865,104.09534207120235,66.39886058795761,NA,1.5803411117023471,2.202337735072549,1.591710673947508,2.219662993953648,0.001,20,0.1,1,0
18,NA,NA,NA,1,0.6666666666666666,0.021689339449412502,0.005416054096151565,0.013552696772782034,25.043167318989134,90.0971583784082,57.570162848698665,NA,1.5829540847764652,2.1051189949898395,1.5912896105548633,2.1403985730579076,0.001,20,0.1,1,0
16,NA,NA,NA,1,0.875,0.022088467641269125,0.004868085696641284,0.013478276668955205,28.94151416797243,86.96310244809624,57.95230830803433,NA,1.479558174988767,2.1371931250133502,1.4874079030159317,2.158258370281649,0.001,20,0.1,1,0
7,NA,NA,NA,1,0.8571428571428571,0.004863222350098515,0.004669361836698438,0.0047662920933984766,0.7994852537861645,18.36965728111023,9.584571267448197,NA,1.0847540738938153,2.0738372863118757,1.0843148389741042,2.074041348132662,0.001,20,0.5,1,0
7,NA,NA,NA,1,1,0.0063067265915544716,0.0048536777319720835,0.0055802021617632775,13.463215798895247,36.905512067646335,25.18436393327079,NA,1.341592997591908,2.2023452694766443,1.3375061513057525,2.2065125371726504,0.001,20,0.5,1,0
10,NA,NA,NA,1,0.6,0.007741011053519114,0.004078413672314369,0.005909712362916741,0.9850651991346263,20.438660805137705,10.711863002136166,NA,1.3208399596548437,2.2720870230656374,1.3225051642096284,2.276500371196804,0.001,20,0.5,1,0
8,NA,NA,NA,1,0.875,0.011552887657067929,0.004017581816150186,0.007785234736609057,11.668557889500013,22.839633936861524,17.25409591318077,NA,1.3447856139962535,2.185894489974271,1.3964221572654314,2.242302575240984,0.001,20,0.5,1,0
6,NA,NA,NA,1,1,0.0019224393814488176,0.004133763450786653,0.0030281014161177354,1.5189730713032037,21.895277613763398,11.7071253425333,0.9931137864089233,1.2859847785907177,2.2256274171044104,1.2857397276345301,2.2259027039945996,0.001,20,0.5,1,0
6,NA,NA,NA,1,1,0.0018608073587370218,0.004209324364713026,0.003035065861725024,1.076023163658136,18.62205267904286,9.849037921350497,0.9923711390028019,1.104911457856364,2.0908995997220776,1.1046977266674933,2.0913327287739474,0.001,20,1,1,0
6,NA,NA,NA,1,1,0.0018920022304931747,0.004141843192237758,0.0030169227113654665,5.703055423772296,22.131018837091858,13.917037130432078,0.9962258365623899,1.3175003415550863,2.2470584551173847,1.3173173013382005,2.247420889757793,0.001,20,1,1,0
7,NA,NA,NA,1,1,0.008720782539104978,0.0037301940192126584,0.006225488279158818,4.046902755751726,20.90009074233107,12.473496749041399,NA,1.3772912719004677,2.295622377735068,1.4830425268189025,2.4019727022097648,0.001,20,1,1,0
7,NA,NA,NA,1,0.8571428571428571,0.004587511880715958,0.003747678582122281,0.00416759523141912,1.6830874288566917,21.414597642971515,11.548842535914103,NA,1.382011108199797,2.224206328048276,1.3818083108553938,2.2244398380321826,0.001,20,1,1,0
6,NA,NA,NA,1,1,0.0018516098868863271,0.0038361078607770703,0.0028438588738316987,1.6111746942377354,22.04466586283854,11.827920278538137,0.9907183243100777,1.3146025374187036,2.254517210793518,1.3143365688449988,2.2548896273050043,0.001,20,1,1,0
6,NA,NA,NA,1,1,0.0018578848573226926,0.003798993145286834,0.002828439001304763,1.3866724426218267,18.895300359562285,10.140986401092055,0.9904193529382436,1.216716774823176,2.1724271436488207,1.216396334370003,2.1729390083545663,0.001,20,2,1,0
6,NA,NA,NA,1,1,0.0020449027321051702,0.0036610113087789057,0.002852957020442038,5.545327803202724,23.389631169280143,14.467479486241434,0.9931380455534311,1.3925040290207393,2.326683135874298,1.3921710451204925,2.3268765997354013,0.001,20,2,1,0
6,NA,NA,NA,1,1,0.0019638493597393834,0.003637912194318942,0.0028008807770291628,1.5199539922870964,23.779269485157545,12.64961173872232,0.9892746155174764,1.541181399209713,2.3714088873660484,1.5409949353246537,2.3717512269580543,0.001,20,2,1,0
6,NA,NA,NA,1,1,0.001806657773406242,0.0034766299248061316,0.0026416438491061868,3.0181748008229827,22.280939561618034,12.649557181220509,0.9901545471916797,1.4738537472958364,2.306661520025617,1.4733816196212275,2.306670272983448,0.001,20,2,1,0
