Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V38	5.51E+00	3.94E+00	1.05E+00	9.10E-01	1.74E+00	6.05E-01	6.05E-01	4.27E+00	2.24E+00
V39	1.65E+01	2.75E+00	2.19E+00	4.92E+00	0.00E+00	4.66E+00	7.10E+00	2.18E+01	8.07E+00
V40	2.15E+00	0.00E+00	1.12E+00	4.33E+01	7.06E-01	4.32E+01	1.22E+00	2.11E+00	1.50E+01
V41	4.09E+00	3.88E+00	7.57E-01	1.21E+00	2.70E+00	4.42E-01	5.40E+00	5.07E+00	6.40E+00
V42	7.95E-01	1.32E+00	1.79E+00	0.00E+00	2.64E+00	0.00E+00	3.52E+00	7.52E-01	3.06E+00
V43	1.51E+00	3.32E+00	4.04E+00	1.99E+01	3.19E+00	1.98E+01	2.24E-01	3.06E+00	4.12E+00
V44	1.37E+01	2.02E+00	1.32E+00	1.20E+01	2.60E-01	1.01E+01	1.16E+01	1.53E+01	1.06E+01
V45	1.89E+01	4.67E+00	1.67E+00	3.07E+01	7.31E-01	2.93E+01	6.63E+00	2.00E+01	1.04E+01
V46	9.48E-01	3.59E+00	1.43E+00	2.36E+01	2.28E+00	2.31E+01	1.40E+00	7.27E-01	4.29E+00
V47	1.39E+00	1.87E+00	2.06E+00	4.46E+00	1.25E+00	3.85E+00	2.31E+00	2.60E+00	3.58E+00
V48	1.25E+01	2.49E+00	9.68E-01	2.35E+01	1.85E+00	2.59E+01	5.59E-01	1.43E+01	4.23E+00
V49	0.00E+00	1.48E+00	8.00E-01	1.62E+00	1.36E+00	1.53E+00	0.00E+00	3.00E-01	1.58E+00
V50	5.66E+00	6.33E-01	1.89E+00	1.90E+00	1.00E+00	6.00E-01	1.09E+01	6.06E+00	1.14E+01
V51	1.23E+01	3.00E-01	3.55E+00	2.17E+00	8.06E-01	5.17E-01	7.48E+00	1.35E+01	6.81E+00
