Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,overdispersion
7,0.010025043510639963,0.009781712719991991,0.010395281471406448,1,1,0.013436925382157931,0.003553135086326455,0.008495030234242192,5.050122574763035,25.0656559719392,15.057889273351119,NA,1.3871137759004901,2.358742721514011,1.4128129571627526,2.3808101245721143,0.01,40,0
9,0.010053122407094118,0.009672874289000795,0.010346564138430905,1,0.6666666666666666,0.01793377526616014,0.009484877801708144,0.013709326533934143,17.27800793847586,49.8633634290365,33.57068568375618,NA,1.4035146716181959,2.2783841661671556,1.405094633897027,2.2840771758893177,0.01,50,0
9,0.009957886114369605,0.009411333198192201,0.010402204558028785,1,0.8888888888888888,0.019584355611761913,0.002907245532199187,0.01124580057198055,14.983241603243549,26.481099469835144,20.732170536539346,NA,1.3383324230796716,2.1209523778540627,1.3908762041204177,2.160857600444837,0.01,50,0
8,0.009952370833578871,0.009582772199376898,0.010291225103154618,1,0.75,0.009327414326684606,0.0037173691594093593,0.006522391743046982,11.434118711514023,36.92645615312023,24.180287432317126,NA,1.359858465137435,2.222539570215989,1.3710644694859584,2.2442612929308727,0.01,50,0
8,0.009998609121815742,0.0096299480193387,0.01035539581272557,1,0.875,0.015272923694222892,0.0031268558315083878,0.00919988976286564,7.418629873513577,21.40453617852164,14.411583026017608,NA,1.1416351890533412,2.1130543854862385,1.1534261850040801,2.1210697866630945,0.01,50,0
8,0.01000535128018085,0.009649431371640635,0.01039782651838718,1,0.75,0.010024956598662012,0.0027583708740396627,0.006391663736350838,12.09107149637001,31.730429929704087,21.910750713037046,NA,1.360569326589226,2.286175339992844,1.3650435880247649,2.295040400388683,0.01,50,0
5,NA,NA,NA,0.6666666666666666,0.8,0.007822030541863496,0.006138743937176358,0.006980387239519927,22.216972092571645,54.041541424115124,38.12925675834339,NA,2.1511800773498924,2.860346610236255,2.1525131478584205,2.8618352930356625,0.1,5,0
5,NA,NA,NA,0.8333333333333334,1,0.006996158408373445,0.006127269664904301,0.006561714036638873,39.43846065978645,58.560760703892605,48.99961068183953,NA,2.059134090052514,2.7441628081310414,2.0590226349622878,2.744290224353986,0.1,5,0
5,NA,NA,NA,0.8333333333333334,1,0.007118750124579501,0.006859599082392625,0.006989174603486063,40.36481227465451,62.787631065826496,51.5762216702405,NA,2.8861364524091573,3.5110248130046933,2.886083183713751,3.5113168589428088,0.1,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.009198296611283102,0.005411591389799244,0.007304944000541174,58.794189794860245,77.30130652566804,68.04774816026415,NA,2.5464165197147204,3.264131674161329,2.546461926374718,3.2642089428612078,0.1,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.007005410935706559,0.006837846644457843,0.006921628790082201,25.973497692752456,59.47635526269269,42.724926477722576,NA,2.3827344331067244,2.9203314286872892,2.383224950452288,2.9208628635858114,0.1,5,0
6,0.09841008825554524,0.09603850745691017,0.09996300648089747,1,1,0.001743251354895178,0.003775278000449306,0.002759264677672242,3.495821633643332,21.593357122890797,12.544589378267064,0.984888842781057,1.2310142947130387,2.2172194655541047,1.2310222169266738,2.217737263393715,0.1,10,0
8,0.10002775079331178,0.09727687422787706,0.10277862735874649,1,0.875,0.012728923447749323,0.0035997748260955063,0.008164349136922416,17.528774172358002,22.84779723448475,20.18828570342138,NA,1.3019172002928345,2.213315347285795,1.3093340136362857,2.228889526492472,0.1,10,0
8,0.0994762835513682,0.09727145314621967,0.10168111395651672,1,0.75,0.006195941414339126,0.002645614218075149,0.004420777816207137,1.9408141196282955,20.76876481884986,11.354789469239078,NA,1.4579126265333908,2.2374117471882893,1.4588712195056572,2.2384237605606554,0.1,10,0
9,0.10129448576520361,0.10129448576520361,0.10129448576520361,1,0.6666666666666666,0.011914503723752447,0.0028871447129213646,0.007400824218336906,5.977688374994388,26.599966428043615,16.288827401519,NA,1.3856927620122819,2.291928652262916,1.4226063399935407,2.330803735271062,0.1,10,0
7,0.10041531876993194,0.09878231113627865,0.10259647014206617,1,0.8571428571428571,0.007792983122798735,0.0025185125629078823,0.0051557478428533084,2.7637772547605906,20.499315622001877,11.631546438381234,NA,1.2200828624979252,2.2005422585812706,1.227709170118372,2.2161567668697835,0.1,10,0
11,0.1002631705792662,0.09807646349479968,0.10215969141370246,1,0.6363636363636364,0.01697700731924489,0.0033648097252689893,0.01017090852225694,12.047032902966844,24.014034346742495,18.03053362485467,NA,1.443774289342223,2.4038434554047314,1.5156947921497983,2.4876235288185975,0.1,20,0
9,0.09936174345559111,0.09493640338995016,0.1024660440672866,1,0.7777777777777778,0.014555797891382003,0.0030568623405006026,0.008806330115941303,13.884350494550945,31.4963206223868,22.690335558468874,NA,1.3671274183686126,2.2345989308300234,1.3738711560938517,2.240773778551872,0.1,20,0
7,0.09977848570729207,0.0969587488062605,0.10224303415229091,1,0.8571428571428571,0.006590666999333703,0.0035158279875174194,0.005053247493425561,3.8861090754322096,25.50322873982813,14.69466890763017,NA,1.3373223728077477,2.3367240473186914,1.343850904845062,2.3411515540073666,0.1,20,0
6,0.09951051881173804,0.09621012480224501,0.10247620973857252,1,1,0.0013296674783176972,0.0022383051155905444,0.0017839862969541208,2.021521508190632,19.766237605128634,10.893879556659632,0.9962692111113548,1.354918403113403,2.3236769714239367,1.3552314912313717,2.3239590940564843,0.1,20,0
7,0.10272010403651062,0.09553396425552135,0.12354349622660757,1,1,0.01085962552500824,0.002612524673666809,0.0067360750993375245,2.619039453385665,18.766105522818577,10.69257248810212,NA,1.1388431102693957,2.140471085192202,1.1932921008221655,2.1796444549364526,0.1,20,0
7,0.09960523599679076,0.09635216030211347,0.10393447650944143,1,0.8571428571428571,0.0056551316782210105,0.0030282049773445187,0.004341668327782764,2.466007517851346,18.54442940716272,10.505218462507033,NA,1.1300339107604438,2.1349865973187674,1.136164227456944,2.1427712991269585,0.1,30,0
9,0.09963813797722224,0.09699171758572783,0.10160885385743515,0.8333333333333334,0.6666666666666666,0.018727656492529037,0.0028786624201543928,0.010803159456341714,10.66051470033548,26.318212144612733,18.489363422474106,NA,1.3063804735888953,2.2954534969021054,1.3136106298369108,2.3167439549830924,0.1,30,0
9,0.10026799223414128,0.09387712199738034,0.10452498504630743,1,0.7777777777777778,0.011039386484030059,0.003104294721635728,0.007071840602832893,3.223976168607755,24.826113997659217,14.025045083133486,NA,1.3223719008248564,2.188698937051706,1.3796813858628698,2.2244208929692606,0.1,30,0
10,0.10122838478624768,0.09886727896821622,0.10389863053909303,1,0.8,0.02115258645055889,0.003784143587377273,0.012468365018968081,11.555209870594156,36.325576941846975,23.940393406220565,NA,1.4006033637077846,2.2118998842584894,1.4206311968025498,2.236640296883576,0.1,30,0
7,0.09881779928363006,0.09576824842840924,0.10241115513510207,1,0.8571428571428571,0.004679221106325289,0.0028769742920450258,0.003778097699185157,1.0909676084547686,17.500810289532335,9.295888948993552,NA,1.2636427601259932,2.227849205903755,1.2651967647670967,2.2289548653940403,0.1,30,0
7,0.10009200851779815,0.09538198581153799,0.10498425659337435,1,1,0.010943713174299865,0.0026470100615371183,0.006795361617918492,5.5540758426081505,23.192520059627668,14.373297951117909,NA,1.331929326234407,2.252912233397624,1.3674383609395993,2.2684455485124224,0.1,40,0
8,0.10017644839263218,0.09500831891420082,0.1023820264742534,1,0.75,0.006833326842220061,0.0028815378517520994,0.0048574323469860806,3.484031710061677,22.665309714984424,13.074670712523051,NA,1.3955367629282889,2.2697421017111052,1.4029944550811992,2.2748702429077645,0.1,40,0
7,0.09990789625016351,0.09640911567699134,0.10432536530024601,0.8333333333333334,0.7142857142857143,0.006398423196858339,0.004025923441035115,0.005212173318946727,13.019087816741607,39.179527006268245,26.099307411504924,NA,1.3457581431700505,2.2257503733762802,1.3491925822450528,2.2282602768102704,0.1,40,0
6,0.09955152299230906,0.09649408278399121,0.1032659810877008,1,1,0.001732623098516662,0.0033600159645841903,0.002546319531550426,0.9589791992706209,19.450459513883512,10.204719356577067,0.9906151791788679,1.1696289224683505,2.1291031727781604,1.1721743910219815,2.131248459016807,0.1,40,0
8,0.09912292301509958,0.09551897883993313,0.10202334188666784,1,0.875,0.013312778856335547,0.0029284558354820776,0.008120617345908812,12.710547379702167,23.181454997951434,17.9460011888268,NA,1.3178717946916432,2.3171974660934684,1.3523819547229705,2.34659580320553,0.1,40,0
9,0.09938690951579976,0.09482490358364021,0.10463338652433408,1,0.6666666666666666,0.010486272209118293,0.00237451048587606,0.006430391347497177,3.6323551889952665,24.654758866339176,14.143557027667221,NA,1.3071597069212115,2.0929295451695937,1.3342013670273003,2.114032738132616,0.1,50,0
9,0.09981223197684932,0.0952498144771989,0.10354425167608013,1,0.7777777777777778,0.011195724899240703,0.0038933413065764663,0.007544533102908585,11.841277930179459,24.828815203395664,18.33504656678756,NA,1.362455375104016,2.2115884590562254,1.4157863065652374,2.257231984982072,0.1,50,0
8,0.09937890492971929,0.09532285800889648,0.10282399351456077,1,0.875,0.015574557937549593,0.003631991836351231,0.009603274886950413,21.493598645194027,48.17217268256779,34.83288566388091,NA,1.3326151990962258,2.318867370741913,1.3373220756448145,2.3246970024612685,0.1,50,0
9,0.09948898288734935,0.09542511449163626,0.1053866109693081,1,0.8888888888888888,0.025099603484485537,0.0049415334120400155,0.015020568448262776,23.288968406811595,49.48348300920887,36.38622570801023,NA,1.3803518356238629,2.1560730128962646,1.4033981250890672,2.1753043961604392,0.1,50,0
7,0.0997500766019557,0.09589031710277218,0.10431550374899898,1,0.8571428571428571,0.0064109155196710324,0.00275191157480678,0.004581413547238906,1.4866589238505687,22.42570544021244,11.956182182031505,NA,1.2698992723934535,2.2568072780755752,1.278242084358097,2.2643835611868135,0.1,50,0
