Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V47	1.50E+00	3.27E+00	1.58E+00	1.73E+01	4.54E+00	4.72E+00	6.00E-01	1.58E+01	3.51E+00	5.00E+00	3.50E+00	1.09E+01
V48	0.00E+00	2.04E+00	1.08E+01	4.15E+00	1.52E+00	7.61E-01	0.00E+00	3.95E+00	0.00E+00	1.20E+01	0.00E+00	2.18E+00
V49	2.23E+01	4.70E+00	5.81E+00	4.62E+00	9.94E-01	7.61E+00	2.11E+01	6.34E+00	1.05E+01	2.06E+00	9.95E+00	5.38E+00
V50	6.90E+00	7.81E-01	5.55E+00	0.00E+00	2.69E-01	3.06E-01	6.87E+00	0.00E+00	6.05E-01	5.25E+00	0.00E+00	6.05E-01
V51	4.73E-01	2.01E+00	3.40E+00	2.78E+01	1.23E+00	1.36E+01	0.00E+00	2.81E+01	1.81E+01	4.33E+00	1.32E+01	1.40E+01
V52	4.35E+00	2.27E+00	0.00E+00	3.32E+01	2.28E+00	5.94E+00	4.44E+00	2.93E+01	3.88E+00	4.37E+00	1.47E+01	2.92E+01
V53	1.14E+01	5.16E+00	6.47E+00	2.79E+01	7.06E-01	7.60E+00	1.11E+01	2.92E+01	5.94E+00	6.51E+00	1.21E+01	8.75E+00
V54	2.74E+00	6.51E-01	4.36E+00	2.02E+00	6.07E+00	8.73E+00	2.86E+00	2.25E+00	8.10E+00	6.01E+00	3.24E+00	2.23E+00
V55	2.06E+00	2.05E+00	2.35E+01	2.32E+01	2.09E+00	5.30E+00	1.60E+00	2.04E+01	6.62E+00	2.35E+01	3.71E+00	5.74E+00
V56	3.35E-01	5.49E+00	5.04E-01	2.63E+00	1.70E+00	2.13E-01	1.35E+00	3.18E+00	5.12E-01	1.04E+00	2.13E-01	6.28E+00
V57	6.76E+00	3.84E+00	1.81E+00	6.70E-01	1.39E+00	5.83E+00	6.64E+00	2.71E+00	6.06E+00	2.23E+00	3.66E+00	5.63E+00
V58	8.90E+00	6.79E+00	7.84E+00	2.85E+00	1.48E+00	4.83E+00	9.86E+00	1.53E+00	8.13E+00	4.87E+00	2.11E+00	1.39E+01
V59	1.59E+01	2.11E+01	6.03E+00	4.98E+00	2.89E+00	2.40E+00	1.57E+01	3.66E+00	3.56E+00	6.25E+00	5.70E+00	2.11E+01
V60	0.00E+00	1.15E+01	0.00E+00	2.08E+00	7.61E-01	0.00E+00	0.00E+00	2.40E+00	0.00E+00	4.00E-01	1.40E+00	1.08E+01
V61	8.95E-01	3.59E-01	6.97E+00	3.76E+00	2.06E+00	5.58E-01	2.60E+00	3.43E+00	9.17E-01	6.17E+00	1.79E+00	2.81E+00
V62	1.59E+01	2.80E+00	1.26E+00	1.25E+00	9.94E+00	3.34E+00	1.38E+01	1.07E+00	1.88E+00	1.13E+01	2.87E+00	2.96E+00
V63	0.00E+00	2.62E+00	7.94E+00	1.68E+00	9.40E-01	8.34E+00	0.00E+00	1.59E+00	1.19E+01	5.32E+00	9.56E+00	3.53E+00
V64	9.21E-01	0.00E+00	4.77E+00	2.28E+00	0.00E+00	3.90E+00	5.82E-01	2.58E+00	3.87E+00	5.31E+00	4.93E+00	0.00E+00
V65	4.84E+00	1.97E+00	1.63E+00	9.43E-01	0.00E+00	1.64E+00	5.31E+00	0.00E+00	3.02E+00	1.00E-01	2.63E+00	1.09E+00
