Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	45	244	18	173	31	39	37
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	234	104	313	92	77	7	1
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	74	131	47	111	21	12	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	7	129	112	55	21	11	22
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	85	180	86	74	13	28	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	34	72	11	129	12	7	0
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	133	215	56	103	19	23	0
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	132	195	108	116	42	61	7
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	259	397	0	147	18	61	6
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	133	137	75	75	23	26	0
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	83	197	24	122	16	56	58
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	97	205	195	37	33	27	7
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	63	130	57	95	24	18	1
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	174	279	29	77	12	43	0
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	97	361	93	101	10	69	2
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	110	309	0	168	25	28	113
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	0	23	62	32	356	3	71
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	677	438	0	378	32	252	10
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	266	453	419	6	25	103	73
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	114	90	335	91	29	27	27
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	16	36	48	57	17	13	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	14	132	32	89	3	28	10
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	83	253	0	164	21	16	0
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	76	160	4	186	13	1	16
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	152	302	0	150	9	47	8
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	3	48	0	196	65	18	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	322	257	297	92	46	55	0
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	109	151	149	30	24	26	16
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	65	196	170	30	10	31	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	39	68	26	77	9	4	56
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	16	31	130	49	1	24	3
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	28	118	47	9	1	11	2
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	38	117	0	327	1716	26	18
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	73	300	137	107	9	11	4
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	42549	2638	0	0	0	1558	1392
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	46	89	43	40	8	20	9
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	41	280	42	105	20	33	47
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	88	125	10	104	18	29	45
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	21	25	34	24	0	10	7
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	124	315	136	49	16	41	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	156	265	113	60	8	19	2
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	37	62	273	50	37	21	0
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	99	317	49	193	403	16	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	358	569	258	59	23	39	14
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	18	14	0	187	32	18	0
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	7	123	24	69	26	14	35
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	87	193	0	130	21	15	71
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	41	105	89	103	5	12	0
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	31	121	135	67	3	32	17
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	52	138	100	97	4	15	157
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	36	81	128	52	23	15	37
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	29	95	208	41	32	33	46
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	99	149	107	113	31	40	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	86	447	147	34	22	60	11
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	50	83	0	81	12	11	30
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	94	845	224	75	26	54	14
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	67	194	66	105	20	17	26
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	95	462	39	87	18	94	21
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	37	173	57	90	2	23	0
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	158	231	28	129	0	23	3
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	136	40	327	0	18	14	77
