Samples	ID83A	ID83B	ID83C
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	401	85	52
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	157	67	42
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	200	151	1417
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	21	194	1704
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	503	299	291
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	142	69	454
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	244	95	51
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	329	128	82
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	274	77	54
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	600	103	14
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	282	70	36
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	340	184	38
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	321	89	40
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	307	96	32
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	296	142	60
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	78	24	31
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	463	165	43
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	372	123	30
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	443	63	81
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	291	361	176
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	239	99	58
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	268	38	51
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	318	116	32
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	159	48	58
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	345	162	42
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	399	178	84
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	581	280	27
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	250	169	50
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	397	109	50
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	387	155	59
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	244	87	57
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	408	192	14
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	586	130	17
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	541	140	72
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	26	9	512
