Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V42	1.05E+00	3.97E+00	0.00E+00	4.56E+00	8.88E-01	8.17E-01	2.77E-01	3.65E-01	7.67E+00	5.18E+00	0.00E+00	2.65E+00	2.89E+00	1.59E+00	7.00E-01	3.35E+00	1.89E+00
V43	3.54E+01	2.64E+00	3.60E+00	1.16E+01	2.24E+00	2.36E+00	1.53E+00	3.49E+00	5.95E+00	8.85E+00	3.33E+00	4.12E+00	6.61E+00	6.28E+00	4.31E+01	2.65E+00	8.67E+00
V44	8.62E+00	1.33E-01	8.36E-01	5.00E+00	5.18E+00	3.27E+00	1.33E-01	3.14E+00	5.97E-01	5.00E-01	1.18E+00	6.80E-01	1.00E-01	2.39E+00	1.09E+01	3.06E-01	6.21E+00
V45	3.54E+00	4.29E+00	1.67E+00	3.07E-01	3.79E-01	7.37E-01	1.02E+00	3.26E+00	1.33E-01	4.27E+00	3.13E+00	1.16E+00	1.81E+00	1.09E+00	4.09E+00	2.61E+00	8.88E-01
V46	5.43E-01	5.21E-01	9.52E-01	7.67E-01	5.04E-01	6.05E-01	7.37E-01	2.69E-01	0.00E+00	1.00E-01	7.03E-01	2.13E-01	5.77E-01	4.00E-01	3.06E-01	6.96E-01	6.96E-01
V47	2.60E-01	1.16E+00	4.00E-01	5.96E+00	1.01E+01	7.97E+00	2.51E+00	2.07E+00	6.25E+00	5.63E+00	2.99E+00	2.32E+00	1.93E+00	4.14E+00	6.96E-01	3.00E-01	1.21E+01
V48	6.69E+00	1.16E+01	9.07E-01	3.22E+00	4.45E+00	3.31E+00	4.31E+00	3.71E+00	5.33E-01	7.78E-01	4.76E+00	7.30E-01	1.55E+00	1.69E+00	7.46E+00	1.10E+01	6.52E+00
V49	2.16E+00	1.29E+00	9.22E-01	4.18E+00	7.21E+00	4.52E+00	2.77E-01	3.67E-01	5.29E+00	6.79E+00	0.00E+00	2.88E+00	6.82E+00	7.90E+00	4.54E+00	0.00E+00	1.51E+00
V50	5.82E+00	2.49E-01	2.15E+00	4.47E+00	8.55E+00	7.87E+00	4.52E-01	7.45E-01	5.97E-01	8.98E-01	0.00E+00	1.37E+00	8.20E-01	1.02E+00	4.19E+00	6.74E-01	1.11E+01
V51	0.00E+00	2.77E+00	1.12E+00	2.15E+00	0.00E+00	0.00E+00	1.86E+00	1.53E+00	1.54E+00	1.68E+00	7.06E-01	1.19E+00	1.73E+00	1.61E+00	0.00E+00	2.86E+00	1.39E+00
V52	2.64E+00	7.78E-01	8.97E-01	7.95E-01	1.65E+00	2.72E+00	0.00E+00	0.00E+00	1.61E+00	1.13E+00	6.00E-01	0.00E+00	0.00E+00	0.00E+00	2.06E+00	7.18E-01	6.05E-01
V53	2.37E+00	1.18E+01	6.36E-01	4.82E-01	0.00E+00	5.58E-01	0.00E+00	0.00E+00	2.67E-01	1.93E+00	0.00E+00	0.00E+00	6.70E-01	0.00E+00	2.57E+00	1.25E+01	5.17E-01
V54	6.28E+00	4.71E-01	1.63E+00	4.17E+00	1.60E+00	7.61E-01	1.31E+00	2.75E+00	2.20E+00	1.70E+00	2.09E+00	1.61E+00	1.58E+00	5.02E+00	6.42E+00	1.59E+00	6.94E+00
V55	0.00E+00	5.59E+00	1.97E+00	3.87E+00	3.75E+00	2.11E+00	5.96E-01	3.59E-01	5.56E+00	3.20E+00	0.00E+00	3.97E+00	3.41E+00	3.35E+00	0.00E+00	6.67E+00	4.58E+00
V56	5.67E+00	2.27E+00	4.42E-01	2.42E+00	0.00E+00	0.00E+00	2.69E+00	7.25E+00	3.07E-01	6.53E+00	3.60E+00	1.98E+00	3.06E+00	1.26E+01	1.29E+01	2.32E+00	5.00E-01
V57	6.51E-01	6.51E-01	1.89E+00	1.29E+00	2.60E+00	2.07E+00	1.09E+00	7.45E-01	3.35E+00	2.10E+00	7.86E-01	2.01E+00	7.75E-01	1.05E+00	1.19E+00	2.40E+00	1.68E+00
V58	2.49E-01	1.23E+00	1.85E+00	4.90E+00	9.29E-01	5.22E-01	0.00E+00	0.00E+00	2.52E+00	1.37E+00	2.24E-01	7.07E+00	3.69E+00	2.29E+00	3.00E-01	1.09E+00	1.09E+00
