MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
3:Ins:R:2	3.98E-08	1.10E-07	6.77E-04	9.35E-08	5.91E-08	2.99E-02	5.14E-02	2.96E-07	1.01E-01	8.32E-08	1.87E-46	2.65E-07	3.39E-04	5.95E-07	3.10E-07	7.53E-07	1.18E-03
3:Ins:R:3	2.20E-08	2.53E-05	1.40E-46	5.91E-07	0.00E+00	4.33E-04	7.79E-04	0.00E+00	7.64E-04	9.93E-04	3.70E-07	0.00E+00	0.00E+00	6.07E-08	7.58E-05	1.95E-03	1.31E-07
3:Ins:R:4	5.22E-08	4.21E-05	7.74E-05	1.07E-04	2.39E-04	9.82E-08	1.43E-04	1.22E-04	0.00E+00	1.10E-06	4.41E-08	2.04E-04	2.08E-07	1.25E-03	1.72E-04	1.91E-03	8.30E-04
3:Ins:R:5	1.43E-04	1.14E-04	6.16E-04	0.00E+00	0.00E+00	2.63E-04	0.00E+00	2.63E-04	0.00E+00	8.76E-04	9.35E-08	0.00E+00	3.65E-08	1.14E-03	5.15E-03	1.54E-03	2.60E-03
4:Ins:R:0	2.21E-04	9.28E-05	1.61E-04	3.86E-08	0.00E+00	1.48E-07	6.24E-04	1.36E-07	5.27E-04	2.18E-07	0.00E+00	1.13E-04	5.35E-04	8.59E-09	1.08E-07	8.46E-04	1.64E-03
4:Ins:R:1	3.94E-08	5.68E-04	5.44E-08	6.09E-08	3.61E-09	3.92E-02	5.57E-02	2.18E-03	5.69E-02	1.49E-06	1.84E-03	1.85E-07	1.95E-07	9.08E-04	2.22E-03	7.65E-07	1.95E-03
4:Ins:R:2	3.18E-08	1.18E-07	5.62E-08	8.61E-08	0.00E+00	6.79E-07	5.47E-08	1.06E-07	1.22E-07	4.77E-04	7.09E-05	3.99E-04	1.68E-04	2.35E-07	2.37E-04	2.60E-07	3.38E-07
4:Ins:R:3	4.23E-09	6.98E-05	7.31E-05	4.15E-08	1.02E-04	3.43E-08	3.54E-08	4.29E-05	9.13E-05	4.57E-04	6.79E-09	6.47E-08	1.95E-07	0.00E+00	1.52E-07	0.00E+00	4.45E-05
4:Ins:R:4	7.93E-08	5.00E-05	8.07E-05	7.65E-08	0.00E+00	2.64E-08	5.07E-08	8.88E-08	1.90E-04	1.21E-07	2.46E-07	1.53E-07	5.87E-08	6.48E-05	1.16E-04	1.32E-03	1.46E-07
4:Ins:R:5	3.44E-05	3.03E-04	5.38E-04	0.00E+00	4.14E-04	7.65E-05	0.00E+00	0.00E+00	0.00E+00	9.10E-04	0.00E+00	4.36E-03	4.14E-04	0.00E+00	3.02E-03	2.42E-03	1.79E-03
5:Ins:R:0	2.85E-08	2.89E-08	2.08E-04	1.74E-09	0.00E+00	3.39E-07	1.40E-04	0.00E+00	8.41E-07	0.00E+00	2.68E-04	3.13E-04	1.97E-04	4.95E-04	9.01E-07	6.05E-04	1.23E-07
5:Ins:R:1	1.25E-04	2.81E-04	1.25E-07	5.43E-04	3.07E-03	0.00E+00	2.60E-08	6.82E-04	3.02E-04	5.11E-03	2.08E-03	2.86E-03	8.01E-04	5.01E-03	4.78E-03	1.02E-02	9.14E-03
5:Ins:R:2	4.30E-08	2.31E-08	6.93E-08	8.03E-08	0.00E+00	1.22E-08	6.52E-08	2.70E-07	7.25E-05	2.56E-07	2.03E-04	7.13E-08	2.38E-04	1.12E-07	2.52E-07	1.83E-07	2.48E-07
5:Ins:R:3	5.01E-08	1.32E-04	4.30E-08	3.26E-08	6.32E-08	1.21E-08	2.72E-08	1.48E-07	1.00E-07	0.00E+00	2.62E-08	1.08E-04	5.81E-08	1.52E-07	1.67E-04	5.31E-08	4.49E-07
5:Ins:R:4	3.62E-08	4.94E-08	6.93E-08	2.77E-08	6.32E-05	3.98E-09	1.50E-07	1.19E-04	5.52E-04	4.21E-04	8.15E-07	3.01E-08	8.29E-05	1.81E-04	3.54E-04	1.53E-06	0.00E+00
5:Ins:R:5	5.68E-08	2.21E-08	1.65E-04	7.39E-08	0.00E+00	9.45E-08	1.30E-07	9.18E-08	7.06E-04	2.64E-07	2.24E-07	9.99E-08	5.43E-08	2.71E-07	1.94E-07	3.35E-07	2.52E-04
2:Del:M:1	2.98E-04	2.51E-04	0.00E+00	8.37E-04	1.30E-03	3.13E-04	0.00E+00	2.10E-04	1.59E-03	2.27E-03	5.80E-03	3.22E-03	6.39E-04	4.65E-03	1.10E-02	4.31E-03	1.40E-46
3:Del:M:1	4.43E-05	9.75E-09	5.17E-04	2.42E-04	1.88E-03	0.00E+00	4.72E-06	6.75E-06	2.17E-04	3.12E-03	2.05E-03	1.07E-02	1.34E-03	8.50E-03	4.83E-03	1.08E-02	3.23E-03
3:Del:M:2	9.45E-05	0.00E+00	3.58E-04	7.66E-07	0.00E+00	2.15E-04	3.25E-04	1.10E-03	3.17E-03	2.72E-03	2.23E-03	8.14E-08	1.62E-03	1.93E-03	9.53E-03	5.46E-03	3.53E-03
4:Del:M:1	0.00E+00	1.50E-04	0.00E+00	5.27E-04	1.22E-03	1.40E-04	6.49E-04	3.12E-03	5.45E-03	3.76E-05	6.70E-03	2.84E-03	4.57E-04	7.17E-03	1.64E-02	0.00E+00	9.74E-03
4:Del:M:2	4.01E-05	2.35E-07	4.74E-05	2.20E-03	1.49E-04	9.68E-08	0.00E+00	0.00E+00	0.00E+00	5.33E-04	2.49E-03	2.41E-03	4.73E-04	1.33E-03	3.99E-04	1.96E-03	1.35E-03
4:Del:M:3	2.24E-03	3.95E-05	9.13E-05	1.03E-03	1.07E-04	1.15E-02	9.03E-03	0.00E+00	1.38E-02	1.23E-03	6.87E-03	1.58E-04	3.56E-03	4.79E-03	7.46E-03	5.70E-02	5.55E-02
5:Del:M:1	2.89E-08	0.00E+00	4.43E-08	7.65E-08	2.16E-02	1.94E-07	9.16E-08	2.22E-02	3.51E-02	5.28E-06	4.14E-07	2.18E-07	4.33E-07	1.57E-02	9.23E-03	2.02E-02	2.88E-06
5:Del:M:2	1.84E-07	2.07E-06	6.40E-04	1.40E-46	1.37E-02	2.33E-08	1.20E-07	2.76E-02	2.59E-02	7.56E-02	1.61E-03	7.79E-08	1.97E-07	1.30E-02	1.63E-02	1.68E-06	1.62E-02
5:Del:M:3	9.05E-08	3.04E-07	1.32E-07	1.11E-07	6.39E-03	2.73E-08	3.13E-08	1.51E-02	2.97E-03	1.81E-02	0.00E+00	1.51E-05	2.18E-07	4.07E-07	5.78E-03	3.68E-03	4.00E-02
5:Del:M:4	2.88E-08	0.00E+00	9.12E-04	9.31E-08	2.65E-03	1.02E-07	9.34E-08	2.14E-03	2.73E-03	4.84E-03	4.27E-08	6.87E-04	4.16E-07	9.21E-03	6.56E-03	5.33E-03	2.21E-03
5:Del:M:5	0.00E+00	3.29E-04	6.33E-04	0.00E+00	1.40E-03	0.00E+00	0.00E+00	4.63E-03	1.61E-03	7.02E-03	1.05E-03	2.99E-46	4.06E-04	4.24E-03	1.20E-02	5.49E-04	2.07E-02
