MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Ins:T:4	2.52E-03	1.09E-03	7.23E-08	2.31E-07	0.00E+00	2.69E-08	0.00E+00	1.42E-03	1.55E-06	4.20E-46	1.40E-46	7.85E-08	1.69E-07	6.58E-07	4.59E-03	0.00E+00	4.20E-03	6.73E-03	6.76E-02	3.03E-04
1:Ins:T:5	4.18E-02	2.99E-08	1.10E-03	4.42E-07	5.51E-04	2.40E-07	3.93E-03	5.05E-07	1.37E-05	8.84E-03	2.83E-03	2.99E-02	4.34E-06	2.68E-02	3.74E-07	1.10E-02	1.21E-01	1.99E-02	8.03E-02	6.94E-46
2:Del:R:0	2.01E-09	8.43E-04	0.00E+00	1.85E-07	8.03E-04	0.00E+00	3.10E-03	2.88E-03	1.00E-02	1.18E-02	2.21E-03	5.27E-03	6.43E-03	2.06E-03	1.45E-04	3.67E-03	5.25E-03	3.61E-03	5.36E-07	3.61E-03
2:Del:R:1	5.01E-05	4.15E-03	1.74E-03	4.62E-03	1.45E-03	5.00E-04	4.03E-03	1.39E-03	4.70E-03	3.69E-03	3.19E-03	8.58E-04	5.00E-03	1.18E-02	4.90E-03	5.68E-03	4.61E-03	4.56E-03	2.60E-03	1.39E-02
2:Del:R:2	2.04E-04	4.31E-04	8.18E-05	1.47E-06	4.03E-08	2.45E-04	0.00E+00	8.62E-08	0.00E+00	0.00E+00	1.17E-03	0.00E+00	1.91E-03	7.42E-04	3.19E-03	6.53E-04	2.10E-03	1.90E-03	3.00E-03	1.76E-03
2:Del:R:3	2.60E-07	5.07E-05	5.16E-08	1.45E-02	1.47E-07	5.79E-08	1.09E-07	2.08E-04	5.60E-07	5.33E-07	1.77E-07	4.81E-20	4.35E-07	5.84E-03	1.22E-01	5.17E-03	1.38E-07	5.70E-07	1.31E-06	1.23E-06
2:Del:R:4	1.89E-08	4.64E-04	6.59E-05	5.00E-08	1.57E-08	2.30E-05	1.40E-46	1.04E-07	3.85E-04	1.23E-08	9.77E-04	4.02E-07	8.06E-04	7.47E-08	1.42E-08	1.41E-07	1.65E-07	2.93E-04	2.01E-07	1.04E-03
2:Del:R:5	1.10E-07	4.84E-08	2.92E-08	2.85E-07	3.33E-08	2.30E-08	3.38E-04	2.54E-08	2.16E-04	1.48E-03	0.00E+00	4.18E-04	2.38E-04	9.55E-04	4.17E-07	7.96E-04	1.23E-03	4.96E-07	4.89E-04	3.12E-04
3:Del:R:0	2.50E-08	1.14E-03	2.22E-08	5.79E-08	3.72E-08	5.01E-07	1.16E-03	4.18E-06	1.26E-02	2.08E-03	2.28E-04	8.32E-03	2.17E-03	1.28E-02	2.95E-08	6.13E-03	3.82E-03	1.22E-02	1.27E-02	1.06E-03
3:Del:R:1	8.69E-04	7.03E-04	4.09E-08	1.49E-04	0.00E+00	0.00E+00	1.20E-04	1.25E-03	2.64E-02	4.86E-04	2.95E-03	1.20E-03	1.17E-02	0.00E+00	2.54E-03	3.59E-08	4.96E-02	4.22E-03	3.52E-03	7.47E-03
3:Del:R:2	0.00E+00	1.92E-03	1.13E-03	3.50E-09	0.00E+00	0.00E+00	3.48E-04	8.80E-04	8.94E-04	1.06E-03	2.16E-03	1.56E-03	1.38E-03	1.34E-03	5.41E-04	2.33E-03	1.11E-03	2.17E-03	4.07E-04	9.99E-04
3:Del:R:3	1.19E-03	1.29E-06	1.08E-07	1.03E-04	1.76E-07	1.52E-08	1.23E-08	4.11E-04	3.69E-04	6.03E-04	3.67E-08	0.00E+00	8.18E-04	3.51E-08	1.10E-06	4.83E-04	1.13E-03	4.50E-04	7.29E-04	1.05E-04
3:Del:R:4	2.89E-08	4.60E-08	3.01E-08	1.10E-07	5.32E-08	6.10E-08	5.48E-08	1.19E-07	2.99E-07	6.43E-08	1.39E-07	1.11E-07	2.35E-07	1.87E-07	3.06E-07	1.47E-07	2.48E-07	3.68E-07	2.27E-07	2.00E-07
3:Del:R:5	2.89E-08	4.60E-08	3.01E-08	1.10E-07	5.32E-08	6.10E-08	5.48E-08	1.19E-07	2.99E-07	6.43E-08	1.39E-07	1.11E-07	2.35E-07	1.87E-07	3.06E-07	1.47E-07	2.48E-07	3.68E-07	2.27E-07	2.00E-07
4:Del:R:0	4.36E-09	0.00E+00	1.62E-04	1.01E-08	5.40E-04	6.23E-05	2.32E-03	3.22E-03	1.75E-03	1.54E-03	1.70E-04	3.44E-04	2.22E-04	5.69E-03	6.24E-08	1.51E-03	9.86E-05	1.27E-03	8.90E-08	2.58E-03
4:Del:R:1	6.88E-05	2.04E-04	6.34E-09	2.44E-08	1.34E-03	3.90E-04	6.73E-05	4.97E-09	2.40E-03	5.51E-03	3.54E-03	1.74E-03	3.87E-03	0.00E+00	0.00E+00	6.26E-03	2.38E-09	1.12E-02	4.67E-03	1.71E-03
4:Del:R:2	6.53E-09	6.09E-08	1.60E-08	3.06E-04	1.89E-04	3.34E-08	0.00E+00	5.50E-08	6.80E-04	6.25E-04	5.73E-04	1.00E-03	1.35E-03	8.74E-04	1.46E-08	1.17E-03	5.14E-04	6.49E-04	2.13E-08	1.85E-06
4:Del:R:3	2.89E-08	4.60E-08	3.01E-08	1.10E-07	5.32E-08	6.10E-08	5.48E-08	1.19E-07	2.99E-07	6.43E-08	1.39E-07	1.11E-07	2.35E-07	1.87E-07	3.06E-07	1.47E-07	2.48E-07	3.68E-07	2.27E-07	2.00E-07
4:Del:R:4	2.89E-08	4.60E-08	3.01E-08	1.10E-07	5.32E-08	6.10E-08	5.48E-08	1.19E-07	2.99E-07	6.43E-08	1.39E-07	1.11E-07	2.35E-07	1.87E-07	3.06E-07	1.47E-07	2.48E-07	3.68E-07	2.27E-07	2.00E-07
