Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	109	196	47	28	11	21	57	50	29	1
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	37	97	179	161	39	59	0	18	71	0
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	187	228	106	263	17	54	0	33	0	0
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	77	104	100	45	19	24	43	21	36	0
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	0	111	140	116	14	51	19	32	32	41
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	6	180	188	0	28	25	123	9	42	0
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	71	59	0	135	21	16	46	27	13	0
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	177	180	0	187	11	40	0	19	0	0
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	57	317	93	66	7	66	42	32	53	0
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	81	146	53	273	21	21	7	56	0	95
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	0	30	22	0	317	4	33	27	58	56
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	499	227	246	348	31	243	0	83	110	0
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	183	495	247	0	9	105	33	53	153	67
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	160	95	0	53	23	28	216	25	94	19
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	25	5	0	72	14	13	16	21	21	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	17	56	10	147	5	27	0	11	34	1
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	17	162	106	124	14	12	15	65	22	0
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	13	90	103	113	15	1	0	32	84	5
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	42	170	167	149	11	39	59	27	4	0
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	4	59	0	0	32	16	29	180	10	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	355	235	5	99	34	55	182	44	60	0
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	126	158	0	0	15	24	124	35	9	14
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	87	140	2	104	9	28	130	2	0	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	43	66	0	17	9	4	30	19	43	48
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	0	20	60	32	2	24	58	5	53	0
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	36	91	0	52	1	10	24	0	0	2
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	0	104	90	0	1432	20	59	501	0	36
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	95	179	4	227	8	7	76	27	13	5
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	28463	738	17059	0	0	1327	0	0	0	550
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	54	67	0	57	5	20	0	22	19	11
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	54	150	0	240	14	28	0	41	0	41
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	12	31	122	135	14	23	5	37	3	37
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	26	0	0	48	0	8	26	7	0	6
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	146	295	0	71	9	39	58	37	26	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	162	260	5	0	6	17	133	20	17	3
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	43	88	58	0	23	22	119	49	77	1
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	113	242	0	154	341	13	29	149	36	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	375	550	0	0	23	33	323	0	9	7
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	19	0	0	45	18	17	21	101	47	1
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	14	76	0	87	24	12	20	15	20	30
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	89	108	0	162	15	11	0	53	13	66
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	51	104	0	0	2	10	122	38	28	0
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	0	125	85	0	6	33	66	0	86	5
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	16	91	82	70	8	11	104	4	53	124
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	55	98	0	0	18	15	78	24	49	35
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	10	85	75	0	25	29	190	19	20	31
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	52	73	98	123	23	37	62	47	24	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	114	421	0	72	14	57	61	32	22	14
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	44	5	11	140	10	8	0	25	0	24
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	123	770	32	160	24	51	85	9	73	5
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	0	147	128	70	12	15	0	54	44	25
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	72	387	55	120	13	89	10	38	12	20
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	39	130	8	62	0	20	85	34	4	0
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	145	63	27	301	1	19	0	16	0	0
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	0	0	265	0	13	5	283	0	0	46
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	43	404	216	0	13	42	27	15	86	9
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	55	126	0	58	8	18	15	22	55	46
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	50	118	0	106	811	5	99	190	18	37
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	108	249	39	111	19	31	47	29	72	5
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	40	68	153	223	48	28	61	42	43	0
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	5	39	63	0	75	6	71	4	15	33
