MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
4:Ins:R:3	8.33E-09	4.49E-08	7.02E-03	4.97E-08	1.39E-02	2.30E-08	0.00E+00	4.91E-02	3.34E-04	8.30E-08	2.92E-04	1.13E-03	2.76E-02	4.86E-08	5.03E-07	1.78E-04	2.23E-02	1.74E-02	0.00E+00
4:Ins:R:4	4.60E-05	8.59E-07	3.17E-08	1.75E-07	6.06E-08	3.65E-08	8.05E-08	5.57E-04	3.58E-08	3.83E-08	2.02E-04	2.50E-07	2.46E-07	6.30E-08	1.25E-06	2.75E-06	2.29E-07	1.86E-04	8.27E-04
4:Ins:R:5	2.89E-04	1.00E-04	2.99E-06	5.28E-04	7.17E-04	6.56E-04	0.00E+00	4.46E-04	2.59E-04	1.20E-03	1.32E-03	1.65E-03	4.49E-05	0.00E+00	1.05E-07	7.42E-04	1.39E-03	3.01E-04	2.04E-03
5:Ins:R:0	2.28E-08	2.12E-07	3.95E-08	5.01E-08	4.83E-08	5.16E-04	3.90E-08	2.15E-07	3.28E-04	6.53E-08	9.60E-08	5.16E-08	3.60E-07	3.03E-07	2.00E-07	1.93E-04	1.26E-03	9.85E-05	2.54E-07
5:Ins:R:1	9.64E-05	2.54E-08	0.00E+00	5.03E-06	0.00E+00	3.22E-03	3.28E-04	1.41E-04	6.31E-03	3.04E-04	2.82E-04	2.94E-04	1.53E-03	6.74E-04	1.08E-03	1.16E-03	3.51E-03	8.70E-03	3.05E-05
5:Ins:R:2	4.17E-08	3.00E-08	4.66E-08	1.10E-07	4.52E-08	1.06E-04	4.11E-08	3.79E-07	1.06E-07	1.81E-04	1.79E-07	1.59E-07	1.57E-07	1.20E-07	1.91E-07	1.29E-07	1.58E-07	7.80E-08	3.04E-07
5:Ins:R:3	7.42E-05	3.50E-08	6.45E-08	6.21E-08	3.22E-08	4.36E-08	7.27E-08	9.46E-08	6.13E-08	1.42E-07	3.03E-08	1.10E-07	2.65E-07	5.98E-08	1.35E-07	1.33E-07	2.44E-04	8.25E-08	4.97E-04
5:Ins:R:4	7.14E-05	2.42E-08	5.79E-08	4.27E-08	2.94E-08	4.55E-08	1.93E-04	9.26E-08	3.81E-08	1.46E-07	8.82E-08	6.99E-08	2.57E-06	2.81E-04	1.19E-07	4.65E-08	7.24E-04	2.49E-08	4.24E-04
5:Ins:R:5	0.00E+00	5.05E-08	5.66E-08	6.68E-05	2.14E-04	3.82E-07	4.18E-08	2.34E-07	7.51E-04	2.17E-07	0.00E+00	2.01E-04	1.08E-07	1.38E-07	4.99E-07	7.76E-04	3.09E-07	3.31E-04	1.52E-07
2:Del:M:1	1.78E-03	4.20E-46	9.07E-04	0.00E+00	1.15E-04	1.37E-03	2.35E-03	5.22E-03	1.43E-03	1.00E-07	1.27E-03	9.45E-04	6.97E-03	2.19E-03	9.61E-04	9.07E-04	5.89E-03	2.33E-03	5.60E-03
