Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V80	2.67E-01	2.76E+00	5.96E+00	1.88E+00	3.94E+00	3.01E+00	1.48E+00	3.24E+00	1.41E+00	4.38E+00	5.45E+00
V81	1.45E+01	0.00E+00	2.68E+00	0.00E+00	1.07E+00	7.32E+00	8.86E+00	0.00E+00	1.59E+01	2.91E+00	3.03E+00
V82	1.06E+01	7.25E+00	6.53E-01	5.32E+00	2.20E+00	1.66E+01	1.69E+01	8.89E+00	1.32E+01	2.97E+00	6.28E+00
V83	3.72E+00	7.06E+00	5.39E-01	0.00E+00	0.00E+00	1.08E+00	1.31E+00	6.05E+00	3.38E+00	7.77E-01	0.00E+00
V84	2.71E+01	0.00E+00	0.00E+00	0.00E+00	2.20E+00	4.86E+00	5.79E+00	0.00E+00	2.85E+01	4.04E+00	1.59E+00
V85	9.48E-01	0.00E+00	3.56E+00	3.81E+00	1.10E+00	5.42E-01	2.00E-01	0.00E+00	1.96E+00	8.16E-01	5.56E+00
V86	3.82E+00	1.00E+01	1.05E+00	9.51E+00	3.15E+00	1.35E+01	9.32E+00	1.43E+01	1.33E+01	1.28E+01	3.67E+00
V87	5.63E+00	4.68E+00	1.00E+00	0.00E+00	1.42E+00	2.27E+00	2.57E+00	4.34E+00	5.55E+00	1.70E+00	5.00E-01
V88	4.00E-01	1.44E+01	6.86E-01	0.00E+00	1.90E+00	1.80E+00	2.61E+00	1.43E+01	2.39E+00	3.00E+00	9.94E-01
V89	1.00E-01	3.09E+00	1.42E+01	1.86E+00	1.45E+00	1.49E+00	1.08E+00	1.05E+01	4.73E-01	1.13E+00	1.06E+01
V90	1.91E+01	7.08E+00	1.47E+01	5.51E+00	1.89E+00	4.17E+00	4.54E+00	1.44E+01	1.95E+01	2.87E+00	7.04E+00
V91	1.87E+01	2.58E+00	2.41E+00	2.56E+00	6.61E+00	1.61E+00	2.38E+00	3.91E+00	2.06E+01	3.66E+00	4.76E+00
V92	7.61E+00	3.09E+00	2.06E+00	7.15E-01	8.09E-01	2.69E-01	8.94E-01	2.79E+00	7.59E+00	2.00E-01	2.10E+00
V93	8.81E+00	8.47E+00	1.19E+01	1.22E+00	7.05E+00	2.91E+00	3.14E+00	1.16E+01	1.03E+01	5.87E+00	8.83E+00
V94	8.23E-01	2.62E+01	1.17E+00	4.26E+00	1.93E+00	4.21E+00	4.30E+00	2.46E+01	1.56E+00	0.00E+00	3.73E+00
V95	2.56E+00	9.21E+00	7.09E+00	2.98E-01	6.46E+00	4.37E+00	6.38E+00	8.29E+00	2.67E+00	5.31E+00	7.38E+00
V96	2.65E+01	1.77E+00	3.60E+00	2.24E-01	1.07E+01	1.90E+00	4.87E+00	3.76E+00	2.84E+01	9.40E+00	9.48E+00
V97	6.05E-01	5.51E+00	4.55E+00	2.87E+00	1.73E+00	8.75E-01	1.07E+00	4.86E+00	4.27E-01	5.54E-01	5.00E+00
V98	1.52E+00	2.73E+01	3.73E-01	3.66E+00	2.12E+00	3.37E+00	1.99E+00	2.79E+01	1.55E+00	1.96E+00	6.22E+00
V99	1.23E+00	3.55E+00	0.00E+00	0.00E+00	7.95E-01	1.76E+00	1.56E+00	3.45E+00	1.22E+00	2.26E+00	1.09E+00
V100	4.23E-01	9.64E-01	1.81E+00	1.82E+00	5.67E+00	5.77E+00	3.47E+00	1.11E+00	5.50E+00	5.43E+00	4.28E+00
