MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
4:Ins:R:0	3.79E-08	4.33E-08	2.20E-08	7.82E-08	1.38E-04	7.73E-05	1.18E-04	6.90E-04	6.92E-04	1.37E-03	2.19E-03	6.96E-04	2.51E-07	1.29E-03	1.42E-03
4:Ins:R:1	6.87E-08	2.19E-08	1.19E-08	7.86E-05	6.46E-05	9.04E-04	8.96E-04	7.32E-04	3.73E-06	1.32E-03	4.82E-04	2.85E-03	9.64E-04	2.90E-03	2.91E-03
4:Ins:R:2	5.59E-08	2.74E-08	3.13E-08	8.03E-08	7.03E-08	7.11E-05	9.09E-08	3.40E-05	4.92E-07	9.77E-08	9.48E-05	4.50E-07	3.23E-07	7.67E-07	3.21E-07
4:Ins:R:3	1.42E-08	2.08E-08	1.87E-08	4.28E-08	5.41E-08	4.17E-08	9.42E-08	6.34E-08	1.38E-07	1.10E-07	1.13E-07	1.72E-07	1.61E-07	1.44E-07	2.95E-07
4:Ins:R:4	8.05E-05	3.60E-08	6.90E-05	2.35E-07	2.17E-08	0.00E+00	5.58E-08	9.06E-05	1.04E-07	0.00E+00	1.89E-04	1.38E-03	9.14E-05	4.80E-04	3.29E-07
4:Ins:R:5	1.60E-04	3.17E-08	3.01E-04	6.83E-08	4.80E-04	2.46E-04	2.91E-03	1.66E-06	8.71E-07	2.53E-03	6.91E-04	7.49E-04	5.80E-03	1.78E-03	2.08E-03
5:Ins:R:0	1.01E-07	1.49E-02	7.19E-08	6.96E-08	9.65E-07	8.20E-08	1.70E-03	6.27E-07	9.20E-02	1.36E-02	8.15E-04	1.89E-02	3.06E-08	3.17E-02	1.45E-06
5:Ins:R:1	1.60E-08	3.18E-04	5.45E-04	1.38E-08	6.11E-05	3.27E-03	1.15E-03	2.27E-03	8.22E-04	1.01E-03	7.16E-03	7.16E-04	3.24E-03	1.36E-02	3.39E-04
5:Ins:R:2	5.04E-08	5.64E-08	4.06E-08	7.03E-08	5.10E-04	3.71E-08	1.51E-07	4.66E-08	1.68E-04	5.32E-04	3.15E-04	2.19E-07	5.77E-07	8.96E-04	1.19E-06
5:Ins:R:3	3.58E-08	9.05E-09	2.81E-06	6.37E-08	8.99E-08	3.45E-09	3.66E-04	3.73E-08	8.04E-04	1.22E-04	2.53E-04	1.31E-07	4.45E-04	1.61E-04	1.47E-06
5:Ins:R:4	1.42E-08	2.08E-08	1.87E-08	4.28E-08	5.41E-08	4.17E-08	9.42E-08	6.34E-08	1.38E-07	1.10E-07	1.13E-07	1.72E-07	1.61E-07	1.44E-07	2.95E-07
5:Ins:R:5	5.00E-08	2.12E-08	5.23E-05	6.59E-08	8.75E-08	4.16E-04	5.37E-04	1.55E-04	1.07E-07	4.25E-04	4.82E-04	1.06E-07	8.36E-05	5.94E-04	1.44E-06
2:Del:M:1	1.41E-04	1.15E-04	0.00E+00	4.16E-04	1.16E-03	1.34E-03	2.50E-03	7.37E-04	3.01E-07	5.50E-03	6.92E-03	3.87E-03	8.71E-03	3.39E-03	9.48E-03
3:Del:M:1	7.36E-07	5.06E-08	1.08E-04	5.53E-08	3.04E-04	4.39E-03	1.39E-04	6.01E-03	2.25E-07	2.25E-03	4.49E-04	2.50E-03	8.30E-04	4.72E-03	3.96E-03
3:Del:M:2	2.48E-04	4.91E-08	7.29E-04	3.19E-08	3.27E-04	2.98E-04	9.60E-03	4.21E-04	2.97E-03	1.16E-03	3.75E-03	0.00E+00	1.05E-02	1.54E-03	5.71E-03
4:Del:M:1	8.09E-06	5.52E-08	0.00E+00	3.95E-08	3.89E-04	2.07E-03	2.96E-03	1.24E-03	1.34E-03	1.35E-03	6.97E-03	1.61E-04	1.78E-03	2.50E-06	1.88E-03
4:Del:M:2	1.15E-04	2.11E-08	7.84E-05	3.83E-08	4.28E-04	4.78E-04	2.60E-03	2.61E-04	0.00E+00	2.67E-03	2.37E-03	7.64E-04	3.71E-03	4.55E-03	5.53E-03
4:Del:M:3	8.46E-05	8.24E-05	6.10E-08	2.28E-08	9.71E-04	5.57E-05	3.60E-03	5.77E-05	3.97E-04	2.93E-04	8.99E-06	1.00E-07	3.43E-03	4.28E-03	3.75E-03
5:Del:M:1	3.23E-08	9.11E-04	1.47E-03	5.87E-07	0.00E+00	1.65E-02	1.19E-03	2.37E-02	1.02E-02	2.80E-46	3.46E-02	7.15E-03	2.18E-02	4.28E-02	8.26E-03
5:Del:M:2	1.01E-07	1.12E-06	0.00E+00	1.24E-07	3.00E-07	3.42E-02	6.94E-07	2.43E-02	2.89E-07	8.19E-03	5.78E-03	2.14E-07	1.06E-06	1.77E-02	1.02E-06
5:Del:M:3	1.42E-04	0.00E+00	0.00E+00	1.31E-04	5.89E-07	1.56E-02	5.38E-04	7.06E-03	5.50E-08	6.29E-03	3.31E-02	2.64E-03	1.50E-06	1.46E-02	1.54E-03
5:Del:M:4	1.29E-07	7.45E-09	0.00E+00	2.74E-08	1.50E-03	3.44E-03	8.00E-04	7.25E-03	1.15E-07	1.18E-03	1.34E-03	1.87E-03	1.36E-06	1.99E-02	3.68E-03
5:Del:M:5	2.77E-08	0.00E+00	2.47E-07	7.55E-08	1.14E-07	3.07E-03	6.23E-04	7.12E-03	1.78E-07	1.58E-06	1.36E-03	5.92E-03	1.97E-03	1.01E-02	1.32E-03
