MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
5:Ins:R:2	5.01E-05	2.81E-08	1.88E-08	5.04E-05	5.09E-04	3.27E-08	6.44E-05	5.06E-08	1.79E-04	2.57E-07	4.13E-08	6.72E-05	4.01E-04	0.00E+00	1.19E-03
5:Ins:R:3	3.01E-08	2.36E-08	8.94E-09	1.11E-04	3.18E-08	1.20E-04	0.00E+00	1.95E-04	2.26E-04	1.11E-07	6.28E-08	2.95E-08	1.36E-04	2.82E-07	6.26E-08
5:Ins:R:4	3.64E-08	5.50E-08	8.34E-05	1.26E-07	6.09E-08	1.39E-07	8.43E-05	3.98E-05	1.92E-07	1.06E-06	3.30E-05	4.30E-08	2.28E-04	3.60E-07	2.09E-04
5:Ins:R:5	4.28E-05	2.33E-04	2.99E-08	1.26E-07	4.18E-04	7.53E-08	2.03E-08	9.69E-08	2.58E-07	1.03E-07	1.90E-07	5.17E-04	1.41E-06	3.10E-04	1.59E-04
2:Del:M:1	8.18E-04	0.00E+00	1.42E-03	6.78E-04	6.41E-04	0.00E+00	1.20E-03	1.01E-03	1.49E-03	2.28E-03	8.45E-05	2.42E-03	5.60E-03	2.20E-03	4.12E-03
3:Del:M:1	3.35E-08	2.06E-08	5.25E-09	9.98E-04	8.42E-04	6.47E-05	2.56E-03	1.30E-03	2.08E-03	3.17E-03	4.03E-09	7.79E-04	1.40E-03	6.96E-04	2.78E-03
3:Del:M:2	3.23E-04	1.06E-04	5.48E-04	0.00E+00	4.25E-03	1.61E-03	1.68E-03	2.74E-03	1.19E-03	1.18E-03	0.00E+00	9.75E-03	7.51E-03	9.84E-03	3.96E-03
4:Del:M:1	1.66E-04	3.06E-04	0.00E+00	5.01E-04	2.05E-04	5.87E-04	2.54E-03	4.17E-04	9.34E-04	1.66E-03	7.84E-08	2.67E-04	3.51E-03	0.00E+00	1.76E-03
4:Del:M:2	7.28E-10	1.02E-04	1.67E-04	1.70E-04	4.03E-04	1.68E-04	9.05E-08	7.85E-04	1.23E-03	1.70E-03	5.39E-08	7.94E-04	4.15E-03	7.14E-04	6.80E-04
4:Del:M:3	9.33E-06	5.76E-05	0.00E+00	8.38E-04	2.62E-04	2.83E-04	2.70E-04	6.84E-04	1.18E-03	3.85E-08	0.00E+00	9.06E-04	2.96E-04	2.04E-03	1.84E-03
5:Del:M:1	4.19E-08	6.07E-08	5.47E-03	8.26E-08	1.87E-46	2.75E-07	2.46E-02	4.26E-02	2.98E-07	3.65E-02	1.33E-07	2.95E-03	9.02E-08	4.28E-07	3.35E-02
5:Del:M:2	4.41E-08	2.71E-08	1.37E-03	0.00E+00	1.01E-07	1.23E-04	1.50E-02	5.30E-02	5.77E-08	3.12E-02	2.57E-04	5.17E-03	3.81E-07	1.70E-06	2.00E-03
5:Del:M:3	6.05E-04	1.67E-04	0.00E+00	3.74E-04	6.06E-04	1.19E-03	4.91E-03	1.76E-02	8.88E-08	9.55E-03	0.00E+00	1.20E-02	1.18E-07	1.13E-03	4.75E-03
5:Del:M:4	6.80E-08	2.76E-04	2.50E-05	0.00E+00	2.77E-08	1.29E-03	1.66E-03	2.62E-03	1.72E-04	3.01E-03	3.59E-04	4.81E-05	8.81E-04	3.32E-03	4.07E-03
5:Del:M:5	6.94E-09	2.74E-04	4.46E-04	0.00E+00	6.00E-04	1.20E-07	2.04E-03	2.66E-03	1.36E-03	4.12E-03	9.12E-04	4.24E-03	4.01E-04	6.82E-03	3.65E-03
