Method,cutoff,mean,lowCI.5.,median.50.,highCI.95.,J,theta,K_new,overd
2.CompNMF,0.7771369127516778,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7798208053691276,0.962051282051282,0.923076923076923,0.9666666666666668,1,50,100,2,0.15
2.CompNMF,0.7825046979865772,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.7851885906040268,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.7878724832214765,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.7905563758389261,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.7932402684563759,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.7959241610738255,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.7986080536912752,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8012919463087248,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8039758389261744,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8066597315436241,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8093436241610739,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8120275167785235,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8147114093959731,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8173953020134228,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8200791946308725,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8227630872483221,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8254469798657718,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8281308724832215,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8308147651006711,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8334986577181208,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8361825503355704,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8388664429530202,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8415503355704698,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8442342281879195,0.9582417582417582,0.9197802197802196,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8469181208053691,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8496020134228188,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8522859060402684,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.854969798657718,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8576536912751678,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
