Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	109	79	431	68	0	41	98	2
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	54	121	73	15	11	32	90	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	5	131	61	18	10	69	42	21
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	62	174	96	7	26	29	72	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	30	65	16	10	6	69	68	1
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	73	191	169	13	19	0	84	0
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	113	189	92	43	60	129	33	2
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	259	387	0	17	61	92	65	7
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	132	137	34	20	26	73	47	0
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	88	194	0	14	56	83	67	54
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	22	186	272	30	22	20	43	6
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	51	124	55	21	17	58	60	2
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	170	276	22	8	43	36	57	2
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	87	354	73	8	67	86	58	0
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	113	300	0	22	28	87	94	109
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	0	23	28	341	3	87	4	61
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	669	417	0	35	252	268	141	5
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	88	407	614	24	91	39	28	54
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	55	87	290	26	24	141	68	22
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	15	36	25	14	13	43	41	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	21	129	0	6	28	106	15	3
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	63	236	53	15	15	43	110	2
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	77	150	0	17	1	151	51	9
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	122	281	74	10	45	66	64	6
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	4	43	0	40	18	0	225	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	254	247	292	36	51	83	106	0
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	66	144	169	15	23	0	72	16
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	17	187	197	7	28	20	46	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	44	68	0	9	4	71	31	52
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	0	31	99	2	23	80	19	0
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	27	118	25	0	11	20	12	3
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	46	93	0	1554	24	0	500	25
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	32	283	168	7	9	67	70	5
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	40501	2296	2631	0	1500	0	0	1209
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	41	84	34	6	20	26	34	10
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	39	274	33	14	32	53	77	46
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	70	117	48	13	27	21	78	45
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	7	21	50	0	9	9	19	6
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	69	299	196	10	37	5	65	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	97	245	193	5	15	6	58	4
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	0	65	215	27	18	64	88	3
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	80	301	79	367	14	40	196	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	282	550	300	22	35	66	50	15
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	19	8	0	21	18	51	151	1
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	3	119	23	26	13	57	25	32
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	71	180	44	15	14	31	92	70
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	0	93	142	1	9	24	86	0
