Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	206	229	170	17	0	41	13	33	4
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	30	197	78	15	43	61	0	42	40
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	86	179	264	28	0	23	0	19	9
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	22	62	0	44	20	0	28	201	2
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	335	546	366	34	85	41	0	0	59
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	58	127	88	9	105	37	35	26	10
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	54	164	19	5	63	36	50	39	3
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	107	77	0	11	337	23	38	36	5
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	212	295	223	12	0	60	20	24	4
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	308	469	0	49	0	113	373	62	60
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	35	57	130	12	0	13	56	19	0
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	119	161	247	42	0	67	27	77	4
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	49	104	76	13	0	17	16	33	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	0	40	45	21	58	30	49	48	7
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	60	82	161	14	0	18	0	34	43
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	30	161	151	4	0	54	48	32	0
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	100	384	0	22	142	49	100	25	0
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	8186	9494	0	1113	0	2702	210	119	210
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	2	220	0	0	0	5247	0	0	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	22	74	108	13	39	30	0	23	2
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	53	73	0	29	194	10	59	25	32
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	815	256	0	1070	224	32	0	101	0
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	56	223	65	25	49	23	51	67	10
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	93	225	80	705	0	36	59	191	36
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	129	119	81	11	77	17	50	29	2
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	5	18	19	0	0	2	16	44	25
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	0	89	51	7	67	31	0	49	1
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	179	152	71	7	50	40	64	60	1
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	71	207	90	20	0	45	31	60	14
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	0	59	16	5	109	0	42	34	1
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	77	229	0	1029	175	44	29	179	6
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	137	0	222	1064	82	0	141	232	41
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	145	252	0	59	206	28	85	318	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	59	0	0	289	0	204	78	35	0
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	71	51	209	22	0	16	0	21	0
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	54	142	123	53	117	27	0	23	0
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	58	96	114	16	1	30	31	41	18
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	49	378	104	13	93	26	18	36	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	31	144	0	9	54	27	43	32	48
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	160	187	97	16	0	27	38	37	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	38	190	7	16	81	16	80	22	0
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	80	180	0	12	0	32	81	17	33
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	15	139	0	13	218	10	42	56	5
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	0	0	37	5	35	19	13	24	0
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	137	200	237	26	0	33	22	16	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	27	219	33	10	176	6	5	49	0
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	43	145	226	22	0	36	0	84	31
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	37	78	2	68	521	6	63	53	0
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	49	59	155	16	57	11	0	49	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	23	73	170	20	0	11	22	19	19
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	65	124	136	8	64	27	0	42	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	0	66	0	11	78	6	62	42	0
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	88	213	0	12	121	20	33	61	1
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	85	200	0	42	140	60	114	20	0
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	252	347	129	17	0	58	44	41	0
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	130	69	179	21	13	25	8	24	0
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	16	180	0	14	155	53	53	42	43
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	0	192	0	31	285	26	44	20	3
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	47	92	98	21	48	17	30	35	0
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	171	220	145	10	1	41	0	26	0
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	53	358	0	7	138	66	70	41	0
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	109	267	117	21	0	25	57	61	96
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	0	27	19	329	25	2	74	15	56
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	650	477	0	29	27	245	251	108	0
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	269	523	0	15	162	102	151	49	74
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	58	52	148	26	237	28	106	38	20
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	18	4	93	14	7	13	15	23	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	21	126	35	5	0	28	78	14	1
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	35	241	0	14	108	13	50	76	0
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	64	168	0	16	30	0	137	36	5
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	146	228	173	12	0	44	31	33	1
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	0	58	11	33	10	17	0	201	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	277	131	345	38	168	53	0	57	0
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	55	124	61	15	164	24	0	47	15
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	43	115	196	10	98	31	0	9	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	44	75	12	9	0	3	66	21	49
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	0	23	47	3	82	25	66	8	0
