K,a,alpha,epsilon,Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights
25,1,2,0.25,6,0.6666666666666666,0.6666666666666666,0.005691944335322798,-1,0.005691944335322798,-1,0.004399242819414062,0.004399242819414062
40,1,2,0.25,6,0.6666666666666666,0.6666666666666666,0.005526831463911185,-1,0.005526831463911185,-1,0.004290807269225997,0.004290807269225997
15,2,0.5,0.01,5,0.3333333333333333,0.4,0.008020684034152896,-1,0.008020684034152896,-1,0.007974404164370091,0.007974404164370091
20,2,0.5,0.01,4,0.6666666666666666,1,0.006453149279519787,-1,0.006453149279519787,-1,0.0071832276511359875,0.0071832276511359875
25,2,0.5,0.01,4,0.6666666666666666,1,0.00642923066580344,-1,0.00642923066580344,-1,0.007168215819921378,0.007168215819921378
40,2,0.5,0.01,4,0.6666666666666666,1,0.006468276674102893,-1,0.006468276674102893,-1,0.00719384559872101,0.00719384559872101
15,2,0.5,0.1,4,0.3333333333333333,0.5,0.0131888352820763,-1,0.0131888352820763,-1,0.011501167747396263,0.011501167747396263
20,2,0.5,0.1,4,0.6666666666666666,1,0.0063919924440924095,-1,0.0063919924440924095,-1,0.007154316786453795,0.007154316786453795
25,2,0.5,0.1,4,0.6666666666666666,1,0.006341174168959826,-1,0.006341174168959826,-1,0.007148065434995538,0.007148065434995538
40,2,0.5,0.1,4,0.6666666666666666,1,0.006432288688049944,-1,0.006432288688049944,-1,0.007175689494422252,0.007175689494422252
15,2,0.5,0.25,5,0.3333333333333333,0.4,0.008314726503682764,-1,0.008314726503682764,-1,0.008167803742249322,0.008167803742249322
20,2,0.5,0.25,4,0.6666666666666666,1,0.006412422204496658,-1,0.006412422204496658,-1,0.0071694140825499745,0.0071694140825499745
25,2,0.5,0.25,4,0.6666666666666666,1,0.0063716678659231875,-1,0.0063716678659231875,-1,0.007146759859900205,0.007146759859900205
40,2,0.5,0.25,4,0.6666666666666666,1,0.006413397913749599,-1,0.006413397913749599,-1,0.007174289039998052,0.007174289039998052
15,2,1,0.01,4,0.6666666666666666,1,0.007334206503799629,-1,0.007334206503799629,-1,0.007501347990378153,0.007501347990378153
20,2,1,0.01,4,0.6666666666666666,1,0.007170158901423606,-1,0.007170158901423606,-1,0.007448915865317452,0.007448915865317452
25,2,1,0.01,4,0.6666666666666666,1,0.0072367399702391024,-1,0.0072367399702391024,-1,0.007459369166017304,0.007459369166017304
